country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Ecuador,10749.12887,10424.26415,10749.12887,10717.59861,16144363.0,0.046,0.63742,1,0.2,1.5,0.06,0.8,0.05,0.8,0.4583333333333333,0.25747347179967145,1.0,0.18772500192600003
"Egypt, Arab Rep.",10095.61017,10319.25693,10095.61017,10249.95791,91508084.0,0.091,0.43135,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4583333333333333,0.4927783418827425,1.0,0.11753683112499999
El Salvador,7845.157575,7989.997256000001,7845.157575,8095.558984,6126583.0,0.061,0.6672600000000001,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.13424357530792413,1.0,0.19632888416200003
Estonia,27549.58137,28109.817039999998,27549.58137,26929.664039999996,1311998.0,0.075,0.67538,1,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.2800603915970392,1.0,0.36168298225
Ethiopia,1533.107632,1608.293476,1533.107632,1529.893783,99390750.0,0.066,0.19472,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5916666666666667,0.3781161653838428,1.0,0.09860583592755474
Finland,38885.89576,39521.5602,38885.89576,38642.81235,5482013.0,0.094,0.84221,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8916666666666666,0.21799096857432496,1.0,0.357808437848
France,37765.750869999996,38061.094260000005,37765.750869999996,37305.69062,66808385.0,0.079,0.7952,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.95,0.2234491797478895,1.0,0.38555775503000006
Georgia,9025.133143000001,9276.766243,9025.133143000001,9109.256977,3679000.0,0.068,0.53641,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6166666666666667,0.3632651483124993,1.0,0.57275743238
Germany,43937.94713,44356.85773,43937.94713,44053.068119999996,81413145.0,0.078,0.7530100000000001,1,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27301744639675013,1.0,0.403636947486
Ghana,3929.681044,3980.202106,3929.681044,3953.2101799999996,27409893.0,0.054000000000000006,0.54042,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5416666666666667,0.40793501657637044,1.0,0.173211340542
Greece,24170.30184,24223.992290000002,24170.30184,24617.037330000003,10823732.0,0.059000000000000004,0.7800699999999999,1,0.2,1.5,0.06,0.8,0.05,0.8,0.4666666666666667,0.23679175031633581,1.0,0.48991876389799993
Guatemala,7292.719104000001,7366.76848,7292.719104000001,7252.949965999999,16342897.0,0.045,0.51571,1,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5833333333333333,0.6475627728005022,1.0,0.039727924915
Guinea,1753.063116,1823.3387879999998,1753.063116,1135.48655,12608590.0,0.076,0.37161,1,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3510694892836516,1.0,0.0731361673504809
Haiti,1651.228445,1653.9618480000001,1651.228445,1658.4132029999998,10711067.0,0.055,0.58645,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.1333669537730951,1.0,0.01411597751
Honduras,4311.176397,4392.265947,4311.176397,4785.086300999999,8075060.0,0.036000000000000004,0.5473,1,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.5666666666666667,0.3635926941047578,1.0,0.13940687030399998
Hungary,25034.45073,25664.136000000002,25034.45073,24474.48885,9844686.0,0.078,0.71227,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6666666666666667,0.22126941170098394,1.0,0.5558629060000001
India,5754.064597,6092.648097,5754.064597,5730.137505,1311050527.0,0.083,0.32747,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.775,0.4525301642355351,1.0,0.11899022153989997
Indonesia,10367.6953,10764.548,10367.6953,10385.32332,257563815.0,0.07200000000000001,0.53742,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6083333333333334,0.30997681866727844,1.0,0.1252372344201611
"Iran, Islamic Rep.",16500.90051,18497.67701,16500.90051,16507.02425,79109272.0,0.063,0.73375,1,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.31799517747918205,1.0,0.13820058166540267
Iraq,14928.8864,16086.91806,14928.8864,14017.773790000001,36423395.0,0.08800000000000001,0.69471,1,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.5840924714508963,1.0,0.11397677753599998
Ireland,61543.2053,63301.15414,61543.2053,51899.199889999996,4640703.0,0.079,0.63241,1,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.31125054927451323,1.0,0.5073191135880001
Israel,32024.352769999998,32688.4081,32024.352769999998,31670.69432,8380400.0,0.047,0.9214,1,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.3584782813615938,1.0,0.17843700015548483
Italy,34317.571860000004,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.062,0.6896399999999999,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7166666666666667,0.2046119687179293,1.0,0.41496272909
Japan,37818.09076,38252.301139999996,37818.09076,35804.2312,126958472.0,0.07400000000000001,0.9349799999999999,1,0.2,1.5,0.06,0.8,0.05,0.8,0.8166666666666667,0.21044253355545398,1.0,0.2110869534891097
Jordan,8491.050310999999,8389.604573999999,8491.050310999999,10239.664279999999,7594547.0,0.08199999999999999,0.8367899999999999,1,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.425,0.17572272222131016,1.0,0.206238572968
Kazakhstan,23522.29052,23446.56506,23522.29052,24352.8462,17544126.0,0.1,0.53247,1,0.2,1.5,0.06,0.8,0.05,0.6,0.775,0.3305707553557686,1.0,0.048976303000000006
"Korea, Rep.",34177.65447,34985.849330000005,34177.65447,34386.57488,50617045.0,0.073,0.8247399999999999,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.95,0.2367936221973808,1.0,0.17583638247439565
Kyrgyz Republic,3237.602937,3293.700997,3237.602937,3224.877613,5957000.0,0.095,0.35707,1,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.5202256666410198,1.0,0.274962041615
Lao PDR,5755.059504999999,6073.223695000001,5755.059504999999,5341.30792,6802023.0,0.076,0.38614,1,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.2472988860728427,1.0,0.126165267696
Latvia,23034.53672,23728.51364,23034.53672,22628.43727,1978440.0,0.071,0.67382,1,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.2393699080806075,1.0,0.257698846
Lebanon,13352.71339,13267.8857,13352.71339,13117.25072,5850743.0,0.079,0.87792,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.4,0.1676576124167707,1.0,0.0944992996917247
Lesotho,2708.1485390000003,2736.354895,2708.1485390000003,2517.0102100000004,2135022.0,0.027999999999999997,0.27312,1,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.1992120956582078,1.0,0.08184535892213125
Liberia,785.2468867,753.557379,785.2468867,786.916697,4503438.0,0.077,0.49701000000000006,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.4725120712732518,1.0,0.12466538028799999
Lithuania,26970.96093,27943.81512,26970.96093,26396.86808,2910199.0,0.061,0.66508,1,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.3129644244946807,1.0,0.34497271199999996
Luxembourg,94088.59223,94920.95872000001,94088.59223,93552.60435,569676.0,0.079,0.9016,1,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.24723066038615737,1.0,0.387573048658
"Macedonia, FYR",12759.8166,13054.890809999999,12759.8166,12724.67528,2078453.0,0.055999999999999994,0.57104,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.2639321665831752,1.0,0.2669000115788582
Madagascar,1377.1682130000002,1396.669615,1377.1682130000002,1373.344023,24235390.0,0.057,0.35105,1,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2940729838426214,1.0,0.092948730949
Malawi,1088.7018050000001,1083.8014210000001,1088.7018050000001,1112.987302,17215232.0,0.055,0.16272,1,0.2,1.5,0.06,0.8,0.05,0.8,0.3333333333333333,0.25307656921941635,1.0,0.023313839365000002
Malaysia,25001.61267,25668.88436,25001.61267,25308.0193,30331007.0,0.046,0.74705,1,0.2,1.5,0.06,0.8,0.05,0.8,0.7666666666666666,0.2505940745612133,1.0,0.061843742918
Mali,1919.228421,1971.08448,1919.228421,2285.307216,17599694.0,0.08,0.39916,1,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.6438448659589122,1.0,0.05072789883999999
Malta,34272.74845,35705.095689999995,34272.74845,28821.65842,431333.0,0.086,0.9540700000000001,1,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.22391636903978407,1.0,0.37426771025
Mauritania,3601.61435,3572.28055,3601.61435,3693.5420409999997,4067564.0,0.075,0.59859,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23810597085800642,1.0,0.0862540470492316
Mauritius,18864.10566,19567.48966,18864.10566,18333.4202,1262605.0,0.07400000000000001,0.39671,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7416666666666667,0.29481279169257346,1.0,0.33329699769199994
Mexico,16671.91198,16832.463040000002,16671.91198,16501.9411,127017224.0,0.054000000000000006,0.79246,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.7666666666666666,0.36826304497677287,1.0,0.27779631322599996
Moldova,4746.784911,4944.399693,4746.784911,4741.824603,3554150.0,0.09699999999999999,0.44995,1,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.25670477375728673,1.0,0.369666655389
Mongolia,11411.94211,11361.00642,11411.94211,11470.904859999999,2959134.0,0.081,0.7204,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5666666666666667,0.20767487925071607,1.0,0.23174384361800002
Montenegro,15289.7174,15737.021130000001,15289.7174,15010.48497,622388.0,0.085,0.64026,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,1.0,0.333551627395
Namibia,9964.222994,9852.035111,9964.222994,9800.779946999999,2458830.0,0.033,0.4666,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6083333333333334,0.2751726819797061,1.0,0.1364125957687519
Nepal,2314.274881,2297.652539,2314.274881,2313.392778,28513700.0,0.083,0.18615,1,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.2701993002713125,1.0,0.34527541233899994
Netherlands,46494.36426,47269.63295,46494.36426,46374.36827,16936520.0,0.087,0.90496,1,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.25251989485705195,1.0,0.340740302335
Nicaragua,4960.912412,5136.841574,4960.912412,4884.150761,6082032.0,0.051,0.5877899999999999,1,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.29951711867347164,1.0,0.133470336908
Niger,904.5797812999999,914.4670358,904.5797812999999,897.3953205,19899120.0,0.078,0.18732000000000001,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23359231685535525,1.0,0.061743998349999996
Nigeria,5670.639443,5434.734795,5670.639443,5638.887379,182201962.0,0.054000000000000006,0.47776,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5916666666666667,0.8736444729486806,1.0,0.011058322492
Norway,64008.28683,64139.54705,64008.28683,64450.53861,5195921.0,0.09,0.8047300000000001,1,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.3359516873480029,1.0,0.31478739098
Pakistan,4695.699879,4854.632259,14982.40754,4744.848617000001,188924874.0,0.092,0.38758000000000004,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5416666666666667,0.3767173581299691,1.0,0.130741792196
Panama,20674.299730000002,21334.93968,3866.513529,20885.33945,3929141.0,0.034,0.66592,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.5402427160644628,1.0,0.11702577045399999
Paraguay,8639.28685,8871.37954,11767.52174,8643.687633,6639123.0,0.043,0.5966600000000001,1,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.3682732130696673,1.0,0.15114231805699999
Peru,11767.52174,12071.59238,6874.582566,11672.14235,31376670.0,0.047,0.78609,1,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.27019867536419195,1.0,0.20002838414099997
Philippines,6874.582566,7236.467070999999,25299.97435,6925.521323999999,100699395.0,0.066,0.44373,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,1.0,0.22565051700000002
Poland,25299.97435,26035.8379,26607.83312,24835.89804,37999494.0,0.081,0.60539,1,0.2,1.5,0.06,0.8,0.05,0.6,0.7916666666666667,0.41320263199936846,1.0,0.496841161
Portugal,26607.83312,27102.6637,40919.62815,26690.06482,10348648.0,0.067,0.63468,1,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.19024226740462855,1.0,0.46228383112
Romania,20545.07714,21614.68624,24516.54995,19925.53855,19832389.0,0.08900000000000001,0.54564,1,0.2,1.5,0.06,0.8,0.05,0.6,0.6916666666666667,0.2677480378213938,1.0,0.42336445300000003
Russian Federation,24516.54995,24416.623880000003,1715.8870739999998,23895.341,144096812.0,0.069,0.7400800000000001,1,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.3491630039272151,1.0,0.26318336895045824
Rwanda,1715.8870739999998,1773.750484,5558.791879,1655.175355,11609666.0,0.052000000000000005,0.28811,1,0.2,1.5,0.06,0.8,0.05,0.8,0.4833333333333333,0.712577817249879,1.0,0.07666355178399999
Senegal,2293.853539,2379.4512640000003,13277.80012,2287.668448,15129273.0,0.061,0.43721000000000004,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.22621011201636318,1.0,0.211370623767
Serbia,13277.80012,13720.89089,25524.955,12863.07931,7098247.0,0.09,0.55553,1,0.2,1.5,0.06,0.8,0.05,0.6,0.5083333333333333,0.2201204533701086,1.0,0.37120505189
Sierra Leone,1315.973533,1368.8290980000002,80892.06483999999,1496.944168,6453184.0,0.079,0.39942,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.3333333333333333,0.4068659912801502,1.0,0.029931397318000003
Slovak Republic,28308.87977,29212.3782,29037.741680000003,27394.19738,5424050.0,0.085,0.53598,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.625,0.30590188604179597,1.0,0.39294395896999995
Slovenia,29037.741680000003,29930.03704,20544.62565,28941.86586,2063768.0,0.096,0.4965,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.2213378830398852,1.0,0.36361308200000003
South Africa,12362.58381,12236.83195,5331.4262659999995,12389.95681,54956920.37,0.024,0.6480100000000001,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7166666666666667,0.41221819094326817,1.0,0.168139028992
Spain,32291.1552,33320.035110000004,11196.39687,32814.45207,46418269.0,0.057999999999999996,0.79579,1,0.2,1.5,0.06,0.8,0.05,0.8,0.7166666666666667,0.18299929671374224,1.0,0.434038862436
Sri Lanka,11196.39687,11639.30965,24169.859790000002,11047.66697,20966000.0,0.071,0.18356,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.33796080258900235,1.0,0.088186319077
Sudan,4290.372249,4386.352577000001,14766.799180000002,3927.4882939999998,40234882.0,0.068,0.33805999999999997,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.9487533644538989,1.0,0.059744771715155326
Swaziland,7758.4955629999995,7723.6410590000005,45679.278,7930.358126,1286970.0,0.04,0.21308000000000002,1,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.19038060692098577,1.0,0.1095257682360058
Sweden,45679.278,46568.17715,57264.1574,45296.45618,9798871.0,0.08199999999999999,0.85815,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.357367643802592,1.0,0.35678861012999996
Tajikistan,2640.58952,2762.585453,2490.957101,2616.191272,8481855.0,0.07400000000000001,0.26782,1,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3854263244630784,1.0,0.23312181055614636
Tanzania,2490.957101,2583.589673,15236.70646,2510.235057,53470420.0,0.07400000000000001,0.31608,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.41320436712274966,1.0,0.07650132945400001
Thailand,15236.70646,15683.03242,1920.1504719999998,15345.355590000001,67959359.0,0.069,0.50374,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7416666666666667,0.24033636299972685,1.0,0.271871370214
Togo,1349.371568,1382.109747,5189.842453,1373.84087,7304578.0,0.05,0.39964,1,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.3708920312086315,1.0,0.09408221945220507
Tunisia,10749.85917,10752.01683,23388.4813,10726.14232,11107800.0,0.067,0.66842,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5333333333333333,0.24926564326912068,1.0,0.1443803417646742
Turkey,23388.4813,23756.48429,14992.32314,18958.62498,78665830.0,0.055999999999999994,0.73397,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.4121669094199699,1.0,0.208853680992
Uganda,1665.9499050000002,1687.0827359999998,7464.939834000001,1717.8292059999999,39032383.0,0.064,0.16101,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5916666666666667,0.5735745521051661,1.0,0.10331523130400001
Ukraine,7464.939834000001,7668.055776,65975.37555,7449.7679849999995,45198200.0,0.1,0.69695,1,0.2,1.5,0.06,0.8,0.05,0.0,0.05,0.2458541924399426,1.0,0.404958861
United Kingdom,38839.16696,39254.77217,53029.29336,38657.78827,65138232.0,0.075,0.8259200000000001,1,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.30312817474804055,1.0,0.43447988939999993
United States,53029.29336,53445.37059,15268.6872,52549.006519999995,321418820.0,0.051,0.81617,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.3187368533465751,1.0,0.11754
Uruguay,19831.44589,20046.92683,5700.236028,19952.25325,3431555.0,0.055999999999999994,0.95311,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6333333333333333,0.29188665397068997,1.0,0.39199519072800004
West Bank and Gaza,4339.103693,4389.226729999999,14765.35631,4714.924621,4422143.0,0.077,0.75252,1,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.16666666666666666,0.2839136336093442,1.0,0.046933031014
"Yemen, Rep.",2641.0458289999997,2325.0699600000003,3627.2020409999996,3663.307829,26832215.0,0.073,0.34606,1,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.16666666666666666,0.2191314756601725,1.0,0.080617921033
Zambia,3627.2020409999996,3646.962322,1912.280264,3625.8064259999996,16211767.0,0.028999999999999998,0.40922,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5416666666666667,0.425750249346411,1.0,0.088705264054
