country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Slovenia,poor,0.2,13938.116006400001,0.24092039999999998,0.8255909428473203,37066.876837536925,0.028388817479100104,1.0
South Africa,nonpoor,0.8,15082.352248199999,0.4081099,1.1192624858619475,37198.922558861195,0.004573561100240186,0.6000000000000002
South Africa,poor,0.2,1483.5100572,0.21105010000000002,0.5229500565522095,1156.2536818168323,0.0047340665862757305,0.6000000000000002
Spain,nonpoor,0.8,38022.835247999996,0.5667167,1.1622720440600762,209836.56877260027,0.008594080183695625,0.8000000000000004
Spain,poor,0.2,9364.435008,0.3559562,0.35091182375969465,42929.11557712789,0.009469841897398298,0.8000000000000004
Sri Lanka,nonpoor,0.8,13001.815865287499,0.3952671,1.178365924033135,38416.53105942803,0.004415562552910881,0.8000000000000004
Sri Lanka,poor,0.2,3974.7208888499995,0.21430860000000002,0.2865363038674594,11980.258186347515,0.0038346599101195577,0.8000000000000004
Sudan,nonpoor,0.8,4998.283670084999,0.1002178,1.25,5243.840617375473,0.008906392259367868,0.6000000000000002
Sudan,poor,0.2,1458.7265646600001,0.03672906,0.0,1635.2147876840777,0.00640104503265038,0.6000000000000002
Swaziland,nonpoor,0.8,9310.1946756,0.2348936,1.171801072848759,49044.40788890164,0.01650021089282057,0.6000000000000002
Swaziland,poor,0.2,1551.6991125999998,0.09158991,0.3127957086049642,7585.127910225767,0.017678198779669717,0.6000000000000002
Sweden,nonpoor,0.8,52416.971504999994,0.8096492,1.1187355048051124,148714.67570815497,0.0014643005859840406,0.8000000000000004
