country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Afghanistan,1820.3043031393202,32526562.0,,0.26703000000000005,0.02233598,0.04460866,0.11107429685686761,0.04316252283353993
Albania,10397.2873904977,2889167.0,0.0885,0.57407,0.044618029999999996,0.09645449,0.2438882981528826,0.16800565262848097
Algeria,13822.5662222971,39666519.0,,0.7072700000000001,0.10180030000000001,0.1647805,,
American Samoa,,55538.0,,0.8720200000000001,,,,
Andorra,,70473.0,,0.85115,,,,
Angola,6937.006266116629,25021974.0,0.054299999999999994,0.44049999999999995,0.0402588,0.22208070000000002,,
Antigua and Barbuda,21615.3066803928,91818.0,,0.23773000000000002,,,,
Arab World,15449.0410931251,392022276.0,,0.5782168497171319,,,,
Argentina,18087.196261682242,43416755.0,0.0475,0.91751,0.010992219999999999,0.06069045,0.20015344553599781,0.14565106530835328
Armenia,7899.28441030032,3017712.0,0.0848,0.62673,0.004417139,0.02506004,0.7336326636811208,0.31717955102620626
Aruba,36015.070459561,103889.0,,0.41528,,,,
Australia,43654.5805243593,23781169.0,0.0709,0.8942299999999999,0.48560159999999997,0.702807,,
Austria,43892.729536691404,8611088.0,0.07780000000000001,0.65968,0.4861395,0.6850328,,
Azerbaijan,16695.3894224544,9651349.0,0.13369999999999999,0.5462,0.04266026,0.060771559999999995,0.8571289621356334,0.3860532955260186
"Bahamas, The",22394.3135554848,388019.0,,0.8287399999999999,,,,
Bahrain,44182.0376434175,1377237.0,,0.88775,0.2638231,0.4028472,,
Bangladesh,3136.5610686987798,160995642.0,0.0889,0.34277,0.03864263,0.09956344,0.06325835608801508,0.14582058163366513
Barbados,15425.736814408301,284215.0,,0.31475000000000003,,,,
Belarus,16621.0334358041,9513000.0,0.0965,0.76667,0.07855246,0.1958292,0.7131045570416903,0.38574592920429235
Belgium,41138.3833578238,11285721.0,0.0862,0.9785799999999999,0.48671349999999997,0.6023575,,
Belize,8024.8443409734,359287.0,,0.43973,0.1267646,0.2864756,0.420367529660433,0.11287637643952123
Benin,1985.61385323733,10879829.0,0.060599999999999994,0.4395,0.0402082,0.09291302,0.04725879624981513,0.07452986615849086
Bermuda,50669.3147696996,65235.0,,1.0,,,,
Bhutan,7601.368909759971,774830.0,0.0677,0.38644,0.1739075,0.2584666,0.024656816312800124,0.018314412029414015
Bolivia,6475.741503268549,10724705.0,0.0342,0.68512,0.11292920000000001,0.3135603,0.4102582892993626,0.12905276195012985
Bosnia and Herzegovina,10023.5601739126,3810416.0,0.0748,0.39766999999999997,0.05371241,0.11128210000000001,0.22220584397440438,0.1254276087362129
Botswana,14876.3317411501,2262485.0,0.028399999999999998,0.57444,0.14749939999999997,0.34586680000000003,0.23278881451946298,0.043776538431895676
Brazil,14454.9373211346,207847528.0,0.032799999999999996,0.8568700000000001,0.05749141000000001,0.16760809999999998,0.16918099974217718,0.19845197910315215
British Virgin Islands,,30117.0,,0.46186000000000005,,,,
Brunei Darussalam,66647.1656409946,423188.0,,0.7720199999999999,,,,
Bulgaria,16956.409065094198,7177991.0,0.0616,0.73948,0.05927353,0.199541,0.5143871021114643,0.23240492980332722
Burkina Faso,1561.52191470315,18105570.0,0.067,0.29859,0.05447056,0.10908389999999998,0.4946753917126161,0.30354287162307714
Burundi,692.673931192175,11178921.0,0.0892,0.12057000000000001,0.01814623,0.05378873000000001,,
Cabo Verde,6295.901426308621,520502.0,0.049699999999999994,0.6552600000000001,,,0.11215629287022583,0.08850635522282173
