ISO,Country,EXPOSED VALUE,EARTHQUAKE,TROPICAL CYCLONES,TSUNAMI,FLOODS
MRT,Mauritania,11985.5,0.22,0,0,17.39
MUS,Mauritius,44217.9,0,93.52,0,0
MYT,Mayotte,6949.04,1.79,42.43,0,0
MEX,Mexico,4513850,1354.65,716.07,0,566.49
FSM,Micronesia (Federated States of),1347.82,0.06,6.38,0.02,0
MCO,Monaco,20716.4,11.7,0,0,0
MNG,Mongolia,36587.6,3.83,0,0,31.04
MNE,Montenegro,8892.93,5.1,0,0,2.76
MSR,Montserrat,158.421,1.09,6.94,0,0
MAR,Morocco,374846,157.28,0,0,176.51
MOZ,Mozambique,36409.4,7.91,45.08,0,50.56
MMR,Myanmar,195390,35.57,82.37,3.27,1909.01
NAM,Namibia,42062.7,3.39,0,0,87.3
NPL,Nepal,53996.6,29.5,0,0,132.07
NLD,Netherlands,3410960,237.82,0,0,691.54
NCL,New Caledonia,17113.3,2.38,480.16,0.37,0
NZL,New Zealand,679705,22.81,324.47,21.89,376.49
NIC,Nicaragua,35973.8,72.5,3.85,0,33.28
NER,Niger,12723.5,0,0,0,21.43
NGA,Nigeria,592030,20.64,0,0,693.24
NOR,Norway,1933680,10.36,0,0,0
OMN,Oman,202534,43.37,24.89,0,14.5
PAK,Pakistan,502344,272.05,25.6,0,955.59
PLW,Palau,780.067,0.13,12.81,0.06,0
PAN,Panama,124687,135.35,0,0.74,21.85
PNG,Papua New Guinea,47017.9,73.59,1.43,0.59,86.39
PRY,Paraguay,92568.6,0,0,0,79.06
PER,Peru,692345,3669.56,0,6.92,301.27
PHL,Philippines,566949,703.46,6613.13,30.63,506.7
POL,Poland,1614720,188.81,0,0,502.02
PRT,Portugal,1054340,7.35,0,0,104.04
PRI,Puerto Rico,259030,354.23,4355.08,3.67,7.98
QAT,Qatar,624818,152.9,0,0,0.07
KOR,Republic of Korea,5538600,45.48,7753,0,2062.78
MDA,Republic of Moldova,33762.7,2.83,0,0,84.76
REU,Reunion,67897.7,0,139.64,0,0
ROU,Romania,555697,255.64,0,0,448.66
RUS,Russian Federation,6325790,296.92,0,0,4144.32
RWA,Rwanda,13197.4,12.68,0,0,22.48
KNA,Saint Kitts and Nevis,4112.06,26.66,55.38,0,0
LCA,Saint Lucia,3361.85,5.06,41.67,0,0
VCT,Saint Vincent and the Grenadines,2645.41,2.79,21.69,0,0
SMR,San Marino,4049.35,5.92,0,0,0
STP,Sao Tome and Principe,2122.7,0.06,0,0,0
SAU,Saudi Arabia,2141420,162.74,0,0,74.74
SEN,Senegal,35335.2,0.79,0,0,14.09
SRB,Serbia,57317.2,33.37,0,0,156.18
SYC,Seychelles,6234.98,0,0,0,0
SLE,Sierra Leone,3031.82,0.1,0,0,7.72
SGP,Singapore,1126580,0,0,0,0
SVK,Slovakia,414783,60.97,0,0,419.82
SVN,Slovenia,139900,159.19,0,0,29.61
SLB,Solomon Islands,3693.47,3.61,39.66,0.13,0
SOM,Somalia,6408.32,0.16,0,0,18.88
ZAF,South Africa,1282850,601.24,0,0,762.14
SSD,South Sudan,19958.3,3.9,0,0,30.01
ESP,Spain,6233960,72.48,0,0,745.83
LKA,Sri Lanka,208274,0,20.27,1.75,128.05
PSE,State of Palestine,69454.3,26.75,0,0,0.15
SDN,Sudan,70368.8,1.89,0,0,120.4
SUR,Suriname,9620.16,0,0,0,52.8
SWZ,Swaziland,13701.2,6.99,0,0,8.41
SWE,Sweden,1747500,0,0,0,69.39
CHE,Switzerland,3421610,786.78,0,0,780.08
SYR,Syrian Arab Republic,204643,149.11,0,0,89.16
TWN,Taiwan,1680400,2702.02,4407.56,15.05,44.89
TJK,Tajikistan,20536.9,64.44,0,0,42.34
THA,Thailand,1379000,32.56,0.02,0,2289.82
MKD,The former Yugoslav Republic of Macedonia,32996.4,26.26,0,0,4.87
TLS,Timor-Leste,12524.2,14.59,0,0.25,0.69
TGO,Togo,12513.7,0,0,0,15.84
TON,Tonga,1303.32,3.35,29.14,0.18,0
TTO,Trinidad and Tobago,68647.9,596.11,23.98,0,0.39
TUN,Tunisia,178846,97.19,0,0,22.45
TUR,Turkey,1947250,2200.39,0,0,230.37
TKM,Turkmenistan,36127,19.25,0,0,71.71
TCA,Turks and Caicos Islands,1049.28,0.1,20.61,0.01,0
TUV,Tuvalu,123.265,0,0,0,0
UGA,Uganda,43697.1,22.14,0,0,28.4
UKR,Ukraine,676834,8.67,0,0,1018.35
ARE,United Arab Emirates,1282120,753.1,0,0,669.09
GBR,United Kingdom of Great Britain and Northern Ireland,7806800,891.59,0,0,667.79
TZA,United Republic of Tanzania,50142.8,26.08,0,0,38.01
USA,United States of America,54922500,14458.98,28552.73,0,5988.16
VIR,United States Virgin Islands,5344.44,12.69,163,0,0
URY,Uruguay,116460,0,0,0,23.6
UZB,Uzbekistan,151891,225.05,0,0,64.15
VUT,Vanuatu,2809.61,7.65,58.87,0.06,0
VEN,Venezuela (Bolivarian Republic of),1154530,2044.24,36.99,0,159.7
VNM,Viet Nam,487574,3.95,76.07,0,2252.82
ESH,Western Sahara,3690.88,0.14,0,0,0
YEM,Yemen,79113.6,45.87,0,0,46.05
ZMB,Zambia,48954.5,17.41,0,0,34.28
ZWE,Zimbabwe,22038.1,4.18,0,0,8
