country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,share1_orig,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Timor-Leste,1920.150472,1984.660767,1349.371568,2126.04369,1245015,0.094,0.0899,0.3277,,,0.00806678,0.072082288
Togo,1349.371568,1382.109747,5189.842453,1373.84087,7304578,0.05,0.0483,0.39964,0.03249362,0.08989002,,
Tonga,5189.842453,5327.2672,31283.45801,4971.515216,106170,0.067,0.0658,0.23712,,,0.033033719,
Trinidad and Tobago,31283.45801,30464.75917,10749.85917,30677.16451,1360088,,,0.08445,0.428774,0.4546623,,
Tunisia,10749.85917,10752.01683,23388.4813,10726.14232,11107800,0.067,0.0673,0.66842,0.04612976,0.1407694,,
Turkey,23388.4813,23756.48429,14992.32314,18958.62498,78665830,0.056,0.058,0.73397,0.04858122,0.1221136,0.291433604,0.203954872
Turkmenistan,14992.32314,15648.37312,,15527.40393,5373502,,,0.50037,0,0.01088831,,
Turks and Caicos Islands,,,3323.797254,,34339,,,0.92186,,,,
Tuvalu,3323.797254,3385.434222,1665.949905,3592.181544,9916,0.066,,0.59717,,,,
Uganda,1665.949905,1687.082736,7464.939834,1717.829206,39032383,0.064,0.0608,0.16101,0.06975457,0.2338443,0.068072525,0.105724989
Ukraine,7464.939834,7668.055776,65975.37555,7449.767985,45198200,0.1,0.1027,0.69695,0.03185545,0.1091335,0.582388263,0.385244483
United Arab Emirates,65975.37555,67133.06552,38839.16696,66102.19177,9156963,,,0.85541,0.245883,0.3713813,,
United Kingdom,38839.16696,39254.77217,53029.29336,38657.78827,65138232,0.075,0.0751,0.82592,0.3657089,0.6278858,,
United States,53029.29336,53445.37059,15268.6872,52549.00652,321418820,0.051,0.051,0.81617,0.3883319,0.6432125,,
Upper middle income,15268.6872,15792.91179,19831.44589,14812.9206,2550326055,,,0.63651618,0.230716,0.384352,,
Uruguay,19831.44589,20046.92683,5700.236028,19952.25325,3431555,0.056,0.0514,0.95311,0.0528978,0.1757146,0.630186345,0.377865207
Uzbekistan,5700.236028,6038.928299,2806.789686,5642.823578,31299500,,0.0742,0.36365,0.008141438,0.02522454,,
Vanuatu,2806.789686,2856.47531,,2891.219503,264652,0.067,0.067,0.26128,,,,
"Venezuela, RB",,,5554.858056,15602.89237,31108083,,0.0318,0.8899,0.1876162,0.2550486,,
Vietnam,5554.858056,5837.628704,,5667.998051,91703800,0.071,0.0652,0.33593,0.09144979,0.1847556,0.064260815,0.157171478
Virgin Islands (U.S.),,,4339.103693,,103574,,,0.95335,,,,
West Bank and Gaza,4339.103693,4389.22673,14765.35631,4714.924621,4422143,0.077,0.0771,0.75252,0.01446696,0.07598995,0.253983328,0.029660146
World,14765.35631,15066.79833,2641.045829,14602.26192,7346633037,,,0.538572383,0.1918915,0.3292653,,
"Yemen, Rep.",2641.045829,2325.06996,3627.202041,3663.307829,26832215,0.073,0.0782,0.34606,0.000864128,0.01403569,0.10970581,0.078327289
Zambia,3627.202041,3646.962322,1912.280264,3625.806426,16211767,0.029,0.0381,0.40922,0.05518931,0.2458853,0.144864725,0.087027999
Zimbabwe,1912.280264,1879.62812,,1687.976025,15602751,0.058,,0.32376,0.008329735,0.08131872,0.101606676,0.108509644
