country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,share1_orig,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Cyprus,30549.10097,31331.393,30549.10097,30309.63483,1165300,0.079,0.0799,0.66921,0.1559048,0.2639375,,
Czech Republic,30605.42052,31338.87521,30605.42052,29805.33278,10551219,0.097,0.0955,0.72992,0.3099159,0.4227365,,
Denmark,45458.69715,45991.22478,45458.69715,43415.22942,5676002,0.094,0.0848,0.87676,0.5787514,0.6937743,,
Djibouti,3139.273535,,3139.273535,3120.044328,887861,0.049,0.0427,0.77343,0.01797438,0.04367659,0.285870135,0.085651804
Dominica,9941.894818,10151.34252,9941.894818,10613.86042,72680,,,0.69539,,,0.581534331,0.083032012
Dominican Republic,13371.52499,14098.87587,13371.52499,13374.90875,10528391,0.051,0.0493,0.7898,0.1601563,0.3398572,0.216707373,0.118282196
Early-demographic dividend,8245.501875,8545.533351,8245.501875,8140.231151,3122703317,,,0.441382812,,,,
East Asia & Pacific,15130.85336,15774.78291,15130.85336,14857.29525,2279186469,,,0.566292417,,,,
East Asia & Pacific (IDA & IBRD countries),12165.44884,12833.20398,12165.44884,12145.40732,2009929013,,,0.528398163,,,,
East Asia & Pacific (excluding high income),12294.73469,12969.19523,12294.73469,12017.89891,2035129646,,,0.529398364,,,,
Ecuador,10749.12887,10424.26415,10749.12887,10717.59861,16144363,0.046,0.0456,0.63742,0.09100455,0.1761092,0.276996774,0.183420493
"Egypt, Arab Rep.",10095.61017,10319.25693,10095.61017,10249.95791,91508084,0.091,0.0925,0.43135,0.02068763,0.05446997,0.10013164,0.119279265
El Salvador,7845.157575,7989.997256,7845.157575,8095.558984,6126583,0.061,0.0552,0.66726,0.0411891,0.2072156,0.169360468,0.198080826
Equatorial Guinea,27572.58751,24162.52753,27572.58751,28271.79525,845060,,,0.39923,,,,
Eritrea,,,,1411.157638,4789568,,,0.20954,,,,
Estonia,27549.58137,28109.81704,27549.58137,26929.66404,1311998,0.075,0.0717,0.67538,0.2434072,0.3648965,,
Ethiopia,1533.107632,1608.293476,1533.107632,1529.893783,99390750,0.066,0.0803,0.19472,0.09488185,0.1639884,,
Euro area,37802.94086,38349.53272,37802.94086,37486.19346,339425073,,,0.759248043,0.3759064,0.5452209,,
Europe & Central Asia,28802.65065,29166.6626,28802.65065,28097.76797,907944124,,,0.708707406,,,,
Europe & Central Asia (IDA & IBRD countries),18527.60833,18679.2603,18527.60833,18056.73712,453562136,,,0.646463763,,,,
Europe & Central Asia (excluding high income),19095.55399,19292.66431,19095.55399,17406.10401,411338238,,,0.65086095,,,,
European Union,35740.25705,36339.57363,35740.25705,35384.98548,509668361,,,0.747997227,,,,
Faroe Islands,,,,,48199,,,0.41962,,,,
Fiji,8477.644733,8447.264216,8477.644733,8619.687034,892145,0.076,0.061,0.53728,,,0.193288705,0.126347367
Finland,38885.89576,39521.5602,38885.89576,38642.81235,5482013,0.094,0.0943,0.84221,0.4324643,0.6640017,,
Fragile and conflict affected situations,3816.853818,3941.603929,3816.853818,3522.608074,485609230,,,0.408284414,,,,
France,37765.75087,38061.09426,37765.75087,37305.69062,66808385,0.079,0.078,0.7952,0.4053758,0.5990517,,
French Polynesia,,,,,282764,,,0.5588,,,,
Gabon,16836.60591,16786.00072,16836.60591,18831.90124,1725292,,0.0582,0.87156,0.08577912,0.2428994,0.219197845,0.120516714
"Gambia, The",1568.022914,1554.884136,1568.022914,1555.529347,1990924,0.074,0.0477,0.59632,,,,
Georgia,9025.133143,9276.766243,9025.133143,9109.256977,3679000,0.068,0.0562,0.53641,0.01164885,0.008063393,0.983201178,0.542810893
Germany,43937.94713,44356.85773,43937.94713,44053.06812,81413145,0.078,0.0837,0.75301,0.5265064,0.6140809,,
Ghana,3929.681044,3980.202106,3929.681044,3953.21018,27409893,0.054,0.0524,0.54042,0.1174127,0.2321198,0.625703454,0.147381981
Gibraltar,,,,,32217,,,1,,,,
Greece,24170.30184,24223.99229,24170.30184,24617.03733,10823732,0.059,0.0555,0.78007,0.0654293,0.16323,,
Greenland,,,,,56114,,,0.86436,,,,
Grenada,12757.96625,13167.05216,12757.96625,12203.42474,106825,,,0.35591,,,,
