country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,51.33676508228243,0.0020946502540160248,0.0,0.0,567.95852,23.70834976060712,23.70834976060712,11318.524281154645
Albania,earthquake,20.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,165.71009570782067,0.006761327744571904,0.0,0.0,567.95852,76.52825224978166,76.52825224978166,11318.524281154643
Albania,earthquake,50.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,351.11506320011244,0.01432624854998498,0.0,0.0,567.95852,162.15199207086147,162.15199207086147,11318.524281154643
Albania,earthquake,100.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,653.4071728364572,0.026660415753974643,0.0,0.0,567.95852,301.7565630570397,301.7565630570397,11318.524281154643
Albania,earthquake,250.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,1295.000726251766,0.05283881046743971,0.0,0.0,567.95852,598.0573592630445,567.95852,10748.889215626588
Albania,earthquake,500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,2071.944152579346,0.08453977064100565,0.0,0.0,567.95852,956.8654467234669,567.95852,6718.240606682155
Albania,earthquake,1000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,3156.0733557587123,0.12877457014943014,0.0,0.0,567.95852,1457.538099031577,567.95852,4410.486630558661
Albania,earthquake,1500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,3951.845727785682,0.16124379174010847,0.0,0.0,567.95852,1825.0417719958605,567.95852,3522.358993612797
Albania,earthquake,2000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,2.7890164459302075e-11,1.1379786002407857e-15,0.0,0.0,567.95852,1.2880238418259704e-11,1.2880238418259704e-11,11318.524281154641
Albania,flood,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,14.309114189580555,0.0005797304165004975,0.0,0.0,567.95852,6.561692795684775,6.561692795684775,11318.524281154643
