country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
"Egypt, Arab Rep.",1200701136.32553,895859517.6593206,1141908569.4384222,958319835.2238668,1081141439.3136625,1317134705.5435383,1430570102.0186896,1191005233.1504865
El Salvador,1787981392.6584177,1310940277.3449357,1619676237.7833781,1699317303.0966341,1744370719.9770634,1830218416.7442105,1871146490.4967265,1526862792.838192
Estonia,141831052.05293292,92600987.9172381,118635470.62554787,125670770.99049936,133899807.71397886,149480404.81828523,156862653.01050937,127610485.43601426
Ethiopia,757813717.5958886,555419017.8771442,731234630.3574036,636900941.8587781,698346907.586431,815396252.3528947,871183373.4672103,690097935.2014291
Fiji,301127460.5042773,149312039.6938742,291852916.3459322,256864302.60928458,279381212.86841947,322142079.2855552,342461501.78710604,181542132.27640375
Finland,,,,,,,,
France,5677947851.684216,4881191401.735572,5473075176.014917,5138596164.6783285,5413242329.328,5933243824.399647,6179624056.612067,5612503552.930272
Gabon,307411296.24937093,190827556.64863753,259768727.19352323,262845007.35018596,285486112.08969843,328654413.4799505,349247190.16089416,266101617.31543928
Georgia,571274112.9496576,380257013.64923346,568707752.6395781,487286067.7299443,530063467.64916134,611002662.3473382,649327774.5730287,448160321.9472239
Germany,4178610557.034226,3528613771.9060283,4061270701.210686,3684592629.459733,3936193340.4969096,4412338792.839488,4637837596.446308,4131160130.835735
Ghana,301504032.209247,226223315.3121672,285302052.67736244,248966258.28550553,275637414.26282513,326603498.36578053,350970836.45751745,292396262.02665836
Greece,7193395556.174979,3343645140.873252,6222239669.318142,6439096575.329654,6823157011.774677,7550546860.412843,7895294308.797134,4345130031.276198
Guatemala,3042348112.19094,862219306.8741457,2266012848.9234715,2248688374.564697,2651018544.3848004,3423144430.7925525,3793847570.3355947,1751726989.550898
Guinea,152312836.90647912,101600990.38377512,130265499.75544931,128514521.75970575,140558935.45517793,163787174.5105174,174992323.2310374,142930773.87370417
Guinea-Bissau,5395516.419838543,3404210.5713847987,4380626.210299311,4425028.978972952,4916035.860795755,5863900.404729928,6321594.946092628,5305654.877925371
Guyana,97786892.51986243,45508383.37318776,76401545.10089563,82526024.49805874,90284998.2631899,105044353.03865883,112069204.58091696,69884391.27221087
Haiti,2035594073.1571786,958355838.2434934,1508034126.15358,1935186509.1454704,1986207407.389818,2083424779.7434666,2129772826.3591115,1363420242.8936605
Honduras,1930663818.8060424,989820303.8993864,1718293582.9745007,1630480329.7798648,1782912707.3234725,2073951150.924184,2212978628.923425,1344734393.2312293
Hungary,3361311392.040854,2766033502.515075,3329895342.3709497,3061383035.5431237,3214087903.8351483,3503344547.0227933,3640458097.855554,3067481032.414574
India,32870287126.069183,25149893297.8833,32236069609.215134,26630657155.350304,29796223541.737656,35856898944.853935,38759866536.777054,31754060249.46046
Indonesia,12759324842.422253,9265293463.179111,11582912147.199219,11034711696.987568,11912191110.940084,13577664925.419294,14368659007.86254,11959205412.738413
"Iran, Islamic Rep.",16969910874.439278,11672811906.17032,15553969722.942379,14662283989.424084,15835078558.927505,18068614808.654556,19132906736.844242,14912046664.81375
Iraq,4977700719.890347,3396843854.9471636,4731952031.172241,3850077630.4134316,4421246137.599989,5520043747.201268,6048843095.599632,4664604810.92644
Ireland,270812780.3598077,215052171.21026254,251975662.5240353,236602062.1808278,254027328.22069082,286993070.87416077,302600387.1446856,267175307.71852797
Israel,532816209.3530958,414608946.6339841,500668591.5089259,452726408.0583251,493382540.0419114,571084374.809224,608240370.9702106,524439483.6543192
Italy,16302433043.05555,12706436391.7318,15317219456.46108,14880104171.234928,15604288743.539997,16975920126.053326,17626036574.660492,14890596243.514786
Jamaica,453021956.2605572,313071604.8427452,422944692.05918354,379921733.53679395,417056553.0085344,487873236.7436764,521662201.632979,404354873.4702671
Japan,37500098655.52378,30664256606.37874,35865029894.71947,34174520789.983784,35867760794.23922,39074767524.21755,40594775317.75413,35311434888.14831
Jordan,208867794.9407912,178062711.23427942,194916690.14736763,193690387.58155546,201392547.57409254,216126353.7488565,223177823.70838928,206235758.0197593
Kazakhstan,1871201349.1186817,1368675194.191929,1730527891.4655344,1602935923.708745,1739363405.446657,1998678506.164508,2122008614.2067516,1741899097.2864494
Kenya,443032195.9024482,302147832.39395124,399125352.4281671,354534373.29910076,399380616.4480908,485539094.1689464,526948402.4995339,427870657.95893806
Kiribati,14555.546731067561,11450.338368920042,13187.227282603008,12764.507763472351,13672.64227837046,15414.292744505974,16249.89017466716,14555.546731067561
"Korea, Rep.",12469460424.073582,9585731088.35168,12084895512.737463,11144672144.438366,11819143766.751225,13096898760.649828,13702646902.25763,11093518163.794024
Kyrgyz Republic,337496215.0791767,189668767.5262918,320281421.78856486,268567011.8613081,303637322.6572411,370205657.2457825,401823444.23099333,253792136.69444847
Lao PDR,1887713868.381143,830469201.0858524,1728234359.0779579,1692742129.5075758,1791861637.9854574,1980458551.9803903,2070245122.7262843,1036398639.0320779
Latvia,471666759.92638797,300431204.566152,421993994.84531075,426208030.00857556,449353773.2272677,493191197.70792043,513968215.4002461,377368296.8885254
Lebanon,348902246.92226636,292840437.55388755,321892890.93601143,324557883.6118937,336905420.73878825,360563555.8649182,371903649.90041053,342079247.6824916
Lesotho,83520705.1035984,59453276.451995514,68570512.52661647,76108800.9279488,79863550.09901837,87084206.7534657,90557776.90042992,80709579.77305424
Liberia,16936403.056884483,11346767.614098923,15039201.132656474,13642478.965068923,15309582.283240924,18524493.839504275,20075322.569018975,16145420.428056885
Lithuania,347826349.74955463,264873470.14125347,328911929.96416366,303268495.925503,325949863.34361905,368940239.08652186,389330892.5503666,323652670.9224587
Luxembourg,26381994.147080805,20510192.184526343,23161342.84753249,23748476.126884375,25089405.874756243,27628814.8960193,28832260.966560658,26280366.9645864
"Macedonia, FYR",141013994.128125,103758128.1075766,128291577.88717821,125068137.3484727,133186337.76902407,148566461.53221887,155858029.43844163,130073838.78541338
Madagascar,1781022803.8664103,1044746182.5827459,1627849521.6118674,1553339328.7320015,1668848273.0875063,1890008813.7287884,1995943601.7499259,1323398232.9172242
Malawi,273213665.0829853,197500458.9569537,249899291.94651636,242631626.70414734,258143678.83857614,287860610.3658629,302102441.43515587,245254103.27510038
Malaysia,3467070287.118865,2497266157.624415,3128202103.044582,3062026931.0577564,3268074773.7614083,3659370359.0985446,3845308133.552447,3169065458.5148654
Maldives,141066.68630902734,112082.26242133834,131848.73150239701,120934.19760772161,131144.84834830058,150712.132589154,160092.88698520916,141066.68630902734
Mali,216705107.00686604,112149330.08642921,199520796.0305448,163554452.0104928,190509714.2792893,242174345.38876888,266949080.22837862,169447304.0286916
Malta,32891702.952517226,26457680.902004942,30064006.195835005,29947115.852858514,31446202.030951295,34286449.91910769,35633077.51257517,32020552.38766333
Mauritania,195132360.34904778,106899525.27981666,154429371.25695735,174307078.99641836,184874708.79901412,205093891.73078638,214772323.42631555,152784466.72928563
Mauritius,183910231.0784975,138610922.67274585,173521112.7721585,160428535.21462247,172382041.53125858,195035466.9182247,205778567.43663433,169615653.64784697
Mexico,5136183780.691861,4041485601.754971,4889827484.368069,4339486712.033879,4744718185.719325,5514580450.11876,5880558435.1600485,5065204987.380814
Moldova,199595146.46250847,148200230.22650108,188577326.29357758,178188851.5402055,189077044.60345677,209761864.0447023,219594654.89273462,176849364.5456896
Mongolia,200468383.87440908,142435759.7354747,175219663.9226776,183356153.12709963,192068876.84974498,208571287.5128443,216393045.01872832,179728200.7029135
Montenegro,33685420.945799425,25686616.396206565,31233232.198203146,28610211.637333427,31189794.123859,36101198.82789495,38440966.65421213,32944134.793706477
Morocco,938169699.1405022,751215021.4633782,887814721.7266642,824335862.2401527,882224657.0319697,992267803.1330186,1044609425.0942595,908819285.3500553
Myanmar,6741263489.71309,2436836973.764018,6154920680.564089,4996323255.5264635,5882727423.33356,7573234896.571171,8379864440.555038,3675348543.9423547
Namibia,227618951.87269804,160729080.5552549,199663418.0463213,198837627.26972896,213445865.75395757,241376703.8099448,254737718.1957512,212472747.21827823
Nepal,916778428.0998102,658677332.1743697,835682857.0658276,811773961.623386,865152787.1744318,966736871.2803124,1015108508.5102005,819359036.6117479
Netherlands,791455334.3878145,681419184.876904,770370147.2705615,705125298.6860362,749076888.7280762,832343778.7000353,871819593.9647862,787779306.693015
Nicaragua,484777882.7797888,340121444.36235607,439748326.1757203,421607180.2982005,453699813.99019986,514889404.64179564,544079374.4959149,436543754.7082548
Niger,207104772.7246046,128850107.05274197,181275817.5609243,185723446.0649904,196569009.240956,217344546.65132558,227301295.44423482,170048196.37166157
Nigeria,2255874692.3830442,1390453835.7604494,2128515942.0589287,1565319912.151815,1914776353.503644,2588926835.339515,2914228546.6161413,2170085541.5166035
Norway,7712136.908674875,6355698.261828156,7501569.177028163,6559957.311708336,7146611.968995115,8257655.375548732,8784212.259477496,7712136.908674875
Pakistan,7718111979.825536,5806376418.53572,7416618879.067954,6471970698.384926,7103922682.942754,8315304566.281624,8896221480.239006,7235168309.781691
Panama,323864844.75554806,213582093.50685224,297344963.0851231,246028148.29218787,285456191.9217516,361295840.0701742,397788523.15866154,313747888.94260913
Papua New Guinea,447931292.3903037,322084223.09365356,408599522.07112896,383344264.05785376,416042696.3310838,479041448.9109474,509402879.0035659,417527067.97801507
Paraguay,187158265.99035025,122062314.7567083,159585207.23835155,154541346.9839391,171103188.70518416,202729953.19626898,217840181.95460916,178442406.0908337
Peru,14288009375.162031,6400374036.086246,12758206497.345955,12465632609.58056,13392627222.444254,15153375864.469585,15990217282.957472,8292824209.8454895
