country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,share1_orig,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Dominica,10151.34252,10174.03854,73543,0.038,0.038,0.6982,7144.454673,0.44,0.44,0.581534331,0.083032012
Dominican Republic,14098.87587,14098.87587,10648791,0.049,0.051,0.79841,6722.223536,0.1601563,0.3398572,0.216707373,0.118282196
Early-demographic dividend,8545.533351,8510.798312,3170542188,,,0.445769965,3240.724515,,,,
East Asia & Pacific,15774.78291,15784.19907,2296786207,,,0.575222714,9786.468143,,,,
East Asia & Pacific (IDA & IBRD countries),12833.20398,12978.18035,2026028438,,,0.538190624,6655.845797,,,,
East Asia & Pacific (excluding high income),12969.19523,12841.9575,2051431154,,,0.539090064,6586.077744,,,,
Ecuador,10424.26415,10462.44133,16385068,0.047,0.045,0.63976,5968.984138,0.09100455,0.1761092,0.276996774,0.183420493
"Egypt, Arab Rep.",10319.25693,10319.25693,95688681,0.091,0.091,0.43222,3514.490097,0.02068763,0.05446997,0.10013164,0.119279265
El Salvador,7989.997256,7989.997256,6344722,0.059,0.061,0.67189,4223.584579,0.0411891,0.2072156,0.169360468,0.198080826
Equatorial Guinea,24162.52753,23671.40047,1221490,,,0.40103,8333.238263,,,,
Eritrea,,1510.458929,4474690,,,0.20954,582.7755302,,,,
Estonia,28109.81704,27735.13851,1316481,0.075,0.07,0.67468,17574.68736,0.2434072,0.3648965,,
Ethiopia,1608.293476,1608.293476,102403196,0.066,0.08,0.19922,706.7577541,0.09488185,0.1639884,,
Euro area,38349.53272,38234.81441,340894606,,,0.761427097,34866.09607,0.3759064,0.5452209,,
Europe & Central Asia,29166.6626,29007.94597,911995305,,,0.710606161,22108.51128,,,,
Europe & Central Asia (IDA & IBRD countries),18679.2603,19146.72129,455372659,,,0.647973419,7573.197663,,,,
Europe & Central Asia (excluding high income),19292.66431,18523.41673,417424643,,,0.651868894,7136.901298,,,,
European Union,36339.57363,36198.34654,511497415,,,0.750256293,32058.77358,,,,
Faroe Islands,,,49117,,,0.42187,53612.71345,,,,
Fiji,8447.264216,8862.740443,898760,0.076,0.076,0.54099,5153.351544,0.6,0.6,0.193288705,0.126347367
Finland,39521.5602,39422.64698,5495096,0.094,0.094,0.84358,43090.24751,0.4324643,0.6640017,,
Fragile and conflict affected situations,3941.603929,3937.004562,505635987,,,0.413226529,1471.014651,,,,
France,38061.09426,38058.87305,66896109,0.079,0.08,0.7975,36854.96828,0.4053758,0.5990517,,
French Polynesia,,,280208,,,0.55802,14530.7772,,,,
Gabon,16786.00072,16785.99801,1979786,0.058,0.058,0.87366,7179.340661,0.08577912,0.2428994,0.219197845,0.120516714
"Gambia, The",1554.884136,1565.796705,2038501,0.074,0.048,0.60224,473.1904363,,,,
Georgia,9276.766243,9267.299004,3719300,0.067,0.061,0.53826,3853.649904,0.01164885,0.008063393,0.983201178,0.542810893
Germany,44356.85773,44072.39216,82667685,0.078,0.081,0.7551,41936.05858,0.5265064,0.6140809,,
Ghana,3980.202106,3980.202106,28206728,0.054,0.054,0.54682,1513.461034,0.1174127,0.2321198,0.625703454,0.147381981
Gibraltar,,,34408,,,1,,,,,
Greece,24223.99229,24263.87813,10746740,0.059,0.059,0.78329,18103.96932,0.0654293,0.16323,,
Greenland,,,56186,,,0.86808,39569.10579,,,,
Grenada,13167.05216,12910.99055,107317,,,0.35616,9469.219181,,,,
Guam,,,162896,,,0.94593,35439.47045,,,,
Guatemala,7366.76848,7366.76848,16582469,0.045,0.044,0.5203,4146.744129,0.06985804,0.2047981,0.11104015,0.036367663
Guinea,1823.338788,1215.025377,12395924,0.076,0.076,0.37651,508.1450784,0.005424729,0.0443864,,
Guinea-Bissau,1491.681953,1466.267695,1815698,0.045,0.045,0.50094,620.2147647,0.0002,0.0002,,
