Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Aruba,8909.38,14.1,0.16,80.82,0.91,282.88,3.18,1015.17,11.39,1880.74,21.11,2814.48,31.59,3300.2,37.04,54.86,0.62,169.87,1.91,362.31,4.07,700.15,7.86,855.18,9.6,1024.02,11.49,1069.98,12.01,93.87,1.05,512.37,5.75,689.69,7.74,857.69,9.63,958.44,10.76,1094.16,12.28,1106.14,12.42,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Australia,6616530,---,---,---,---,---,---,---,---,---,---,---,---,---,---,401.03,0.01,1495.5,0.02,2071.07,0.03,2498.77,0.04,2932.4,0.04,3048.13,0.05,3163.87,0.05,3355.6,0.05,3917.02,0.06,4610.1,0.07,4613.35,0.07,4618.76,0.07,4629.58,0.07,4640.4,0.07,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16486.20261,0.249166899,32310.3769,0.488328125,50126.51335,0.757595195,83037.70831,1.255003881,102629.9929,1.551115054,118198.8133,1.786416948,131400.3888,1.985941102
Austria,1801470,1130.04,0.06,3181.2,0.18,6537.05,0.36,14632.29,0.81,24580.91,1.36,39649.51,2.2,51895.32,2.88,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,775.5915416,0.043053259,4508.296766,0.250256555,11933.9581,0.662456666,45231.30987,2.510800062,62469.23404,3.467681063,84818.74177,4.708307203,112206.1985,6.228591014
Azerbaijan,192784,697.67,0.36,1587.98,0.82,2769.92,1.44,5227.32,2.71,7723.99,4.01,10776.8,5.59,12724.51,6.6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,156.2005988,0.081023632,363.159971,0.188376614,579.6656442,0.300681407,828.932093,0.429979715,1079.783756,0.560100297,1580.96357,0.820069907,1876.213248,0.973220417
Bahamas,45743.7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5444.7,11.9,11651.31,25.47,16596.06,36.28,20455.6,44.72,21536.93,47.08,23699.59,51.81,25862.25,56.54,9543.5,20.86,12500.46,27.33,12516.32,27.36,12563.91,27.47,12643.21,27.64,12801.82,27.99,12960.43,28.33,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Bahrain,103503,46.04,0.04,75.03,0.07,110.75,0.11,206.41,0.2,342.93,0.33,544.52,0.53,696.04,0.67,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Bangladesh,381432,321.27,0.08,1197.38,0.31,2600.16,0.68,5980.3,1.57,9972.05,2.61,14953.21,3.92,18533.15,4.86,452.77,0.12,9705.84,2.54,13545.05,3.55,17810.98,4.67,19852.02,5.2,23479.03,6.16,24083.06,6.31,147.65,0.04,247.68,0.06,305.42,0.08,369.31,0.1,433.09,0.11,461.97,0.12,490.85,0.13,---,---,---,---,---,---,---,---,6.31,0,130.89,0.03,349.24,0.09,13564.15313,3.556113049,21392.14376,5.608376792,26924.61336,7.058823947,37213.63369,9.756295668,45701.61911,11.98159019,54302.5845,14.23650467,55641.722,14.58758625
Barbados,14036.5,35.97,0.26,186.24,1.33,499.03,3.56,1244.16,8.86,1978.38,14.09,2782.22,19.82,3201.05,22.81,81.36,0.58,559.01,3.98,1013.51,7.22,1738.23,12.38,2157.03,15.37,2443.84,17.41,2730.64,19.45,126.58,0.9,639.79,4.56,1483.82,10.57,2108.37,15.02,2356.67,16.79,2654.5,18.91,2940.48,20.95,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Belarus,229400,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2442.485463,1.064727752,4203.065284,1.832199339,5420.526912,2.362914957,8145.315894,3.5507044,8731.47352,3.80622211,9903.788773,4.317257529,10750,4.686137753
Belgium,1980550,328.41,0.02,1097.97,0.06,2862.71,0.14,8264.85,0.42,16122.26,0.81,28768,1.45,38766.82,1.96,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,57.43164503,0.002899783,548.7781809,0.027708373,2350.524528,0.118680393,5956.061526,0.300727653,13176.59803,0.665299943,19461.00886,0.982606289,22500.16576,1.136056437
