Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Chile,784154,5071.5,0.65,10009.3,1.28,16652.05,2.12,32365.66,4.13,49527.6,6.32,69061.17,8.81,81427.82,10.38,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.55,0,24.3,0,65.07,0.01,205.04,0.03,662.93,0.08,2252.88,0.29,3959.78,0.5,1433.24847,0.182776402,3943.513565,0.502900395,8842.286861,1.127621215,11687.05431,1.490402945,15349.6408,1.957477843,19018.72383,2.425381217,21548.23208,2.747959212
China,31726100,3045.61,0.01,5653.33,0.02,8625.8,0.03,14037.21,0.04,19711.23,0.06,26800,0.08,31010.57,0.1,4532.94,0.01,8306.87,0.03,12962.98,0.04,18469.1,0.06,22534.45,0.07,24644.54,0.08,26754.62,0.08,8136.54,0.03,9531.32,0.03,10298.59,0.03,12117.15,0.04,12248.62,0.04,12511.56,0.04,12774.49,0.04,---,---,---,---,---,---,---,---,---,---,---,---,---,---,45820.75403,0.144426053,89384.23657,0.281737234,163823.0899,0.516366934,300313.5427,0.946581971,415188.8763,1.308666607,516509.0905,1.628025791,581146.9939,1.831763103
"China, Hong Kong Special Administrative Region",1250060,---,---,---,---,---,---,---,---,---,---,---,---,---,---,772.67,0.06,1094.77,0.09,1349.65,0.11,1729.68,0.14,1996.14,0.16,2282.23,0.18,2375.31,0.19,5650.54,0.45,8539.95,0.68,9688.13,0.78,11340.84,0.91,11759.2,0.94,12595.92,1.01,13432.64,1.07,---,---,19,0,444.42,0.04,3814.91,0.31,11819.2,0.95,27682.72,2.21,45686.5,3.65,,,,,,,,,,,,,,
"China, Macao Special Administrative Region",56709.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12.89,0.02,21.89,0.04,35.54,0.06,47.87,0.08,57.79,0.1,60.61,0.11,63.07,0.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.22,0,23.28,0.04,177.9,0.31,1612,2.84,3110.71,5.49,3738.32,6.59,,,,,,,,,,,,,,
Colombia,944577,9685.4,1.03,20856.16,2.21,33929.38,3.59,58126.27,6.15,80338.05,8.51,109393.02,11.58,124729.8,13.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.98,0,63.84,0.01,382.75,0.04,1049.38,0.11,3406.44,0.36,6257.01,0.66,3696.974903,0.391389469,7120.798991,0.753861145,9753.832867,1.032613844,24354.68101,2.578369049,27517.06217,2.913162418,33214.62882,3.516349522,38121.13537,4.035789075
Comoros,1426.14,0.28,0.02,0.72,0.05,1.92,0.13,7.77,0.54,20.22,1.42,44.85,3.15,66.33,4.65,0.92,0.06,5.63,0.39,8.49,0.6,11.1,0.78,12.7,0.89,14.14,0.99,15.59,1.09,1.13,0.08,4.62,0.32,7.58,0.53,8.75,0.61,8.83,0.62,8.99,0.63,9.14,0.64,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Congo,69047.7,3.37,0,9.77,0.01,18.1,0.03,38.52,0.06,65.86,0.1,109.17,0.16,143.2,0.21,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1106.555357,1.602595534,1839.968183,2.664778382,2199.032526,3.184801993,5862.722726,8.490829855,7431.371456,10.76266328,9548.921913,13.8294569,10332.7983,14.96472482
Costa Rica,140412,789.79,0.56,1592.97,1.13,2489.41,1.77,4356.83,3.1,6588,4.69,9370.84,6.67,11387.09,8.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.25,0,1.58,0,13.31,0.01,52.75,0.04,119.91,0.09,163.98,0.12,188.7035856,0.134392777,350.8864159,0.249897741,527.1101686,0.375402507,912.7729293,0.650067608,1281.388094,0.912591583,1405.409536,1.000918395,1529.430979,1.089245206
Cote d'Ivoire,45467.6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,478.856277,1.053181336,854.479124,1.879314334,1040.930194,2.289388915,1305.34913,2.870943551,1371.620169,3.016697977,1504.162247,3.308206827,1636.704325,3.599715677
Croatia,188114,365.11,0.19,907.24,0.48,1716.08,0.91,3581.44,1.9,5656.43,3.01,8429.4,4.48,10186.35,5.41,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,730.6690918,0.388418242,1628.928842,0.865926429,2196.263437,1.16751727,2779.158818,1.477380109,3002.067747,1.595876833,3447.885604,1.832870283,3738.488328,1.987352525
Cuba,174919,5.86,0,21.31,0.01,50.46,0.03,136.63,0.08,264.32,0.15,475.47,0.27,652.48,0.37,996.73,0.57,1886.15,1.08,2333.5,1.33,2884.76,1.65,3445.33,1.97,3658.94,2.09,3843.59,2.2,976.86,0.56,1601.54,0.92,1954.53,1.12,2348.13,1.34,2776.19,1.59,2972.27,1.7,3168.35,1.81,---,---,---,---,---,---,---,---,---,---,---,---,---,---,19.78654368,0.011311832,47.45990323,0.027132503,148.001143,0.084611245,221.1662835,0.126439257,345.9410854,0.19777216,536.8780249,0.306929507,636.2123941,0.363718289
Cyprus,71610.5,66.87,0.09,198,0.28,407.84,0.57,924.8,1.29,1552.31,2.17,2401.47,3.35,2989.74,4.18,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.05,0,1.4,0,21.19,0.03,74.2,0.1,---,---,---,---,---,---,0.832274513,0.001162224,1.000989987,0.001397826,1.445680335,0.002018811,2.769833117,0.003867915
Czech Republic,1007260,376.54,0.04,699.14,0.07,1165.73,0.12,2545.33,0.25,4557.63,0.45,7667.18,0.76,9988.6,0.99,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1305.586532,0.129617629,2781.654133,0.276160488,4771.54037,0.473714867,18261.26199,1.81296408,26930.87276,2.673676386,38215.63151,3.794018576,42575.21821,4.226834999
Democratic People's Republic of Korea,5538600,---,---,---,---,---,---,---,---,---,---,---,---,---,---,339.87,0.01,849.52,0.02,1105.13,0.02,1408.73,0.03,1499.89,0.03,1680.13,0.03,1860.37,0.03,32448.8,0.59,44607.99,0.81,50115.44,0.9,58999.94,1.07,60040.48,1.08,62121.55,1.12,64202.62,1.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,905.2051544,0.016343573,14087.94738,0.254359358,40900.00807,0.738453907,149443.1115,2.698210946,205896.084,3.717475246,354214.5127,6.395379928,479137.936,8.650885351
Democratic Republic of the Congo,27402,13.15,0.05,33.28,0.12,59.87,0.22,113.38,0.41,164.36,0.6,221.57,0.81,263.01,0.96,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,491.5662141,1.793906336,775.0736035,2.828529317,1057.105263,3.857766816,2157.076002,7.871965558,2424.352454,8.847355863,2880.002008,10.51018907,2880.02875,10.51028666
Denmark,1346390,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,149.3396518,0.011091857,223.055737,0.016566948,332.5527134,0.024699583,705.7046102,0.052414576,1018.539103,0.075649634,1375.030336,0.102127195,1890.961875,0.140446815
Djibouti,4744.66,4.21,0.09,19.78,0.42,53.01,1.12,143.68,3.03,254.48,5.36,406.29,8.56,513.45,10.82,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.996773726,0.042084654,3.507429875,0.073923735,3.979429232,0.083871747,4.495771597,0.094754347,4.576272639,0.096451013,4.737274721,0.099844345,4.898276803,0.103237678
Dominica,2027.94,59.34,2.93,156.69,7.73,253.99,12.52,395.03,19.48,510.24,25.16,628.27,30.98,688.95,33.97,106.8,5.27,344.45,16.99,528.03,26.04,1007.38,49.67,1153.15,56.86,1162.81,57.34,1172.47,57.82,182.24,8.99,344.46,16.99,508.96,25.1,734.37,36.21,759.5,37.45,809.75,39.93,859.99,42.41,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Dominican Republic,202173,1551.49,0.77,3321.6,1.64,5294.05,2.62,8553.66,4.23,11614.71,5.74,14874.53,7.36,16981.48,8.4,1455.33,0.72,6992.64,3.46,16523.64,8.17,23386.37,11.57,28441.88,14.07,29879.85,14.78,31317.81,15.49,211.88,0.1,463.33,0.23,681.37,0.34,710.34,0.35,758.62,0.38,855.18,0.42,897.09,0.44,---,---,---,---,---,---,---,---,---,---,---,---,---,---,152.0516349,0.075208675,526.9050738,0.260620891,962.5243182,0.476089447,7281.919627,3.601825974,9266.002699,4.583204829,12242.90119,6.055655896,14693.6285,7.26784907
Ecuador,282705,3714.63,1.31,7238.97,2.56,11325.39,4.01,18890.81,6.68,25870.7,9.15,33619.48,11.89,39093.55,13.83,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.37,0,4.42,0,39.9,0.01,170.44,0.06,463.69,0.16,816.72,0.29,976.3912345,0.34537459,1879.433166,0.664803653,3109.324442,1.099847701,5885.675294,2.081914113,7625.741704,2.697420174,10010.14819,3.540845826,11190.56626,3.958389932
Egypt,617149,425.3,0.07,924.7,0.15,1714.93,0.28,3944.56,0.64,7356.98,1.19,13086.94,2.12,17691.64,2.87,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.23,0,212.81,0.03,1760,0.29,3688.43,0.6,26.95940216,0.004368378,361.7370588,0.058614218,3271.722127,0.530134883,5934.656761,0.961624626,8890.986446,1.44065476,13586.66727,2.201521394,16681.83272,2.703047842
El Salvador,71580.5,796.77,1.11,1524.43,2.13,2275.78,3.18,3547.12,4.96,4735.33,6.62,6133.87,8.57,7031.89,9.82,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,62.2366347,0.086946354,127.5889396,0.178245388,213.388527,0.298109858,367.5468891,0.513473487,433.7421801,0.605950196,482.1948114,0.673639904,487.4866507,0.681032754
Equatorial Guinea,20061.4,4.51,0.02,13.02,0.06,29.92,0.15,105.44,0.53,247.41,1.23,484.51,2.42,662.59,3.3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,195.8915027,0.976459782,532.7256476,2.655475927,659.3654517,3.286736976,752.2088352,3.749533109,862.5888346,4.299743959,912.7000707,4.549533286,912.7001622,4.549533743
Eritrea,9081.79,1.01,0.01,2.84,0.03,6.67,0.07,19.64,0.22,41.9,0.46,83.9,0.92,119.87,1.32,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,61.53734297,0.677590464,126.234503,1.389973816,150.7740443,1.660179814,160.293113,1.764994709,176.1582274,1.939686201,---,---,---,---
Estonia,79617.3,---,---,0.61,0,11.95,0.02,48.92,0.06,91.09,0.11,178.59,0.22,267.97,0.34,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,508.2257559,0.638335834,702.422663,0.882248786,832.6109804,1.045766411,953.2791047,1.197326592,1086.085806,1.364132929,1292.625955,1.623549097,1473.286921,1.850460793
Ethiopia,65598.9,6.18,0.01,19.23,0.03,42.5,0.06,103.98,0.16,179.86,0.27,281.34,0.43,353.89,0.54,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,536.5589363,0.817938923,938.1871881,1.430187378,1101.285745,1.678817396,1323.608992,2.017730467,1380.812334,2.104932146,1387.404686,2.114981632,1393.997038,2.125031118
Faeroe Islands,9272.37,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.12,0,0.64,0.01,147.43,1.59,199.02,2.15,239.48,2.58,259.54,2.8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Falkland Islands (Malvinas),44.9375,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Fiji,11571,1.48,0.01,8.55,0.07,25.05,0.22,78.48,0.68,152.97,1.32,261.3,2.26,339.67,2.94,307.98,2.66,753.59,6.51,961.3,8.31,1172.67,10.13,1288.37,11.13,1386.68,11.98,1484.99,12.83,646.89,5.59,818.52,7.07,907.78,7.85,1025.85,8.87,1042.64,9.01,1076.23,9.3,1109.81,9.59,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Finland,965383,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
France,10329400,1397.11,0.01,3474.55,0.03,6656.79,0.06,13776.1,0.13,21282.23,0.21,30723.29,0.3,35970.53,0.35,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4389.935872,0.042499428,19252.62991,0.186386721,43008.06097,0.416365529,191910.1866,1.857902556,278577.398,2.696936879,470916.7178,4.558993918,559836.7575,5.419838107
French Guiana,16800.4,---,---,---,---,0.2,0,4.11,0.02,13,0.08,35.42,0.21,58.2,0.35,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,470.2724646,2.799174214,819.6148497,4.878543664,1033.246553,6.150130671,1101.896026,6.558748754,1216.311813,7.239778891,1362.171395,8.107970021,1362.643119,8.11077783
French Polynesia,22002,---,---,---,---,---,---,---,---,---,---,---,---,---,---,246.82,1.12,1965.36,8.93,2716.03,12.34,3598.98,16.36,4265.23,19.39,4837.63,21.99,5410.02,24.59,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Gabon,120252,10.18,0.01,26.18,0.02,45.63,0.04,94.22,0.08,173.19,0.14,315.56,0.26,442.46,0.37,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2593.167256,2.15644418,4116.078193,3.422877119,4943.864216,4.111253215,9178.32263,7.632573787,9682.680053,8.051990863,10691.3949,8.890825016,11700.10974,9.729659169
Gambia,2097.61,---,---,0.32,0.02,0.89,0.04,1.94,0.09,3.39,0.16,6.35,0.3,9.4,0.45,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.52146716,0.739959628,30.82921991,1.469730784,34.52255564,1.645804303,40.46037459,1.928879753,40.49755691,1.930652357,40.57192155,1.934197566,40.6462862,1.937742774
Georgia,53823.5,578.15,1.07,1253.3,2.33,2074.68,3.85,3528.49,6.56,4773.05,8.87,6135.55,11.4,6842.86,12.71,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,349.8575684,0.650008952,648.5767503,1.205006643,765.3966847,1.422049262,1117.310654,2.075878853,1201.344809,2.232007969,1369.413119,2.544266202,1529.466477,2.841633258
Germany,15114900,7321.13,0.05,19494.64,0.13,36199.91,0.24,71437.86,0.47,109076.74,0.72,155254.12,1.03,187935.09,1.24,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4105.422255,0.027161425,15170.59502,0.100368478,40614.03179,0.268701955,157685.003,1.043242119,237879.9725,1.57381109,288811.6658,1.910774572,328275.708,2.17186821
Ghana,74174,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,578.74368,0.780251409,1133.372548,1.527991678,1255.922055,1.693210633,1493.857355,2.013990556,1511.552754,2.037847162,1546.943553,2.085560376,1582.334352,2.133273589
Gibraltar,4042.19,6.94,0.17,12.6,0.31,22.7,0.56,51.98,1.29,93.48,2.31,169.97,4.2,240.56,5.95,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Greece,1181280,13157.33,1.11,26571.55,2.25,42768.44,3.62,70638.71,5.98,96312.47,8.15,123419.21,10.45,138723.69,11.74,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,172.8772093,0.014634736,452.1192925,0.038273677,922.6202726,0.078103436,1849.473356,0.156565197,2131.184015,0.180413112,2519.901144,0.213319547,2546.143677,0.215541081
Grenada,4536.19,18.09,0.4,71.99,1.59,171.6,3.78,401.47,8.85,628.05,13.85,885.52,19.52,1010.28,22.27,13.87,0.31,119.61,2.64,258.81,5.71,753.58,16.61,915.64,20.19,1011.88,22.31,1108.12,24.43,19.85,0.44,109.09,2.4,324.71,7.16,753.23,16.61,921.68,20.32,972.5,21.44,991.91,21.87,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Guadeloupe,41119.1,765.66,1.86,1919.23,4.67,3234.05,7.87,5448.45,13.25,7348,17.87,9158.08,22.27,10552.74,25.66,2161.2,5.26,10628.97,25.85,15108.87,36.74,19213.25,46.73,21398.94,52.04,24515.25,59.62,24567.71,59.75,2111.91,5.14,4628.3,11.26,5973.07,14.53,6945.34,16.89,7560.2,18.39,7560.85,18.39,7561.51,18.39,---,---,---,---,---,---,0.91,0,19.35,0.05,55.2,0.13,78.69,0.19,,,,,,,,,,,,,,
Guatemala,172912,1669.17,0.97,2934.1,1.7,4199.25,2.43,6424.36,3.72,8430.73,4.88,10588.35,6.12,11878.75,6.87,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,351.222073,0.203121861,673.2406218,0.389354482,1019.524152,0.589620242,1276.874234,0.738453221,1458.749672,0.843637036,1638.97805,0.947868308,1709.294601,0.9885344
Guinea,13665.9,---,---,2.93,0.02,7.32,0.05,18.45,0.14,37.8,0.28,76.23,0.56,109.97,0.8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,198.2398938,1.450617185,343.4962922,2.513528507,398.4060386,2.915329679,430.2316437,3.148213024,483.274319,3.536351934,516.5,3.779480312,516.5,3.779480312
Guinea-Bissau,2029.35,---,---,0.27,0.01,0.83,0.04,2.12,0.1,4.06,0.2,8.54,0.42,13.4,0.66,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7.979443854,0.393201954,18.97840069,0.935196033,22.77799248,1.122427993,25.64724843,1.263815923,28.07086887,1.383244333,32.20001257,1.586715577,32.20009741,1.586719758
Guyana,8076.05,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,308.8273535,3.823990113,552.9209851,6.846428454,662.0780845,8.198043406,735.9276056,9.112469656,859.0101408,10.63651341,881.9104,10.92007107,902.0656,11.16963862
Haiti,28268.6,488.86,1.73,1200.28,4.25,2041.09,7.22,3450.31,12.21,4647.69,16.44,5879.48,20.8,6732.54,23.82,161.33,0.57,418.42,1.48,822.42,2.91,1918.58,6.79,2634.78,9.32,3205.53,11.34,3456.45,12.23,53.17,0.19,102.68,0.36,138.19,0.49,213.49,0.76,258.62,0.91,302.63,1.07,312.66,1.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,202.9892742,0.718073319,411.183069,1.454557597,478.540025,1.692832418,557.6298793,1.972612295,611.7180433,2.163948845,704.9780624,2.493855594,706.2541761,2.498369838
Honduras,77974.8,1773.17,2.27,3331.35,4.27,4939.3,6.33,7258.04,9.31,9207,11.81,11405.22,14.63,12115.48,15.54,37.46,0.05,284.32,0.36,575.56,0.74,1230,1.58,1639.16,2.1,1932.04,2.48,2155.35,2.76,22.67,0.03,51.06,0.07,66.33,0.09,83.75,0.11,96.83,0.12,109.97,0.14,122.16,0.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,704.9881155,0.904123019,998.5642976,1.280624378,1228.531457,1.575549353,1765.872556,2.264670837,2169.424057,2.782211762,2776.177948,3.560352765,3158.566788,4.050753305
Hungary,562480,311.52,0.06,684.34,0.12,1250,0.22,2630.74,0.47,4336.6,0.77,6751.44,1.2,8551.53,1.52,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5303.279227,0.942838719,14148.16927,2.515319525,30340.19886,5.394004918,62775.17053,11.16042713,79997.82513,14.22234126,80926.19812,14.38739122,81854.57112,14.55244117
Iceland,57291.7,88.89,0.16,249.54,0.44,499.33,0.87,1038.84,1.81,1626.35,2.84,2337.64,4.08,2840.91,4.96,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
India,5769370,484.95,0.01,1397.22,0.02,2773.38,0.05,5773.65,0.1,9140.46,0.16,13521.6,0.23,16563.29,0.29,10062.93,0.17,16330.44,0.28,20139.23,0.35,23949,0.42,28081.57,0.49,29608.06,0.51,31134.55,0.54,3767.52,0.07,4311.67,0.07,4526.74,0.08,5171.93,0.09,5540,0.1,5540,0.1,5540,0.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29529.5114,0.511832512,42128.31298,0.730206469,53122.97561,0.920776023,66025.56983,1.144415592,70280.75091,1.218170284,78791.11308,1.365679668,85430.1983,1.480754368
Indonesia,2827830,3269.67,0.12,7592.25,0.27,13637.63,0.48,27129.86,0.96,43214.79,1.53,65893.66,2.33,82556.32,2.92,---,---,---,---,---,---,---,---,---,---,---,---,---,---,329.13,0.01,481,0.02,481.01,0.02,481.03,0.02,481.06,0.02,481.12,0.02,481.18,0.02,58.13,0,263.57,0.01,923.98,0.03,2835.82,0.1,4549.7,0.16,6683.41,0.24,8665.64,0.31,12141.30892,0.429350736,25501.17785,0.901793172,29733.91997,1.051474805,41280.98573,1.459811436,45685.13266,1.615554424,50290.95619,1.778429262,54896.77971,1.941304099
Iran (Islamic Republic of),2067640,8238.44,0.4,15163.81,0.73,22979.46,1.11,37116.28,1.8,51760.74,2.5,69797.93,3.38,80641.51,3.9,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2765.945845,0.133773086,5200.183038,0.25150331,7368.810553,0.356387502,15164.57098,0.733424145,20056.70394,0.970028822,25929.63974,1.254069361,29262.48455,1.41526013
Iraq,132500,382.75,0.29,879.59,0.66,1540.32,1.16,2894.47,2.18,4304.25,3.25,6102.76,4.61,7231.36,5.46,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1751.55078,1.321925117,3003.91548,2.267106023,3917.398454,2.956527135,5327.702439,4.020907501,6573.573589,4.961187614,7903.611731,5.964989986,8758.594385,6.610259913
Ireland,778822,37.12,0,159.48,0.02,304.19,0.04,589.58,0.08,867.77,0.11,1225.58,0.16,1489.36,0.19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,433.9803122,0.055722657,1570.872839,0.20169857,3597.592328,0.461927414,6802.754315,0.873467148,11289.34345,1.449540903,23754.00714,3.0499918,31604.56943,4.057996491
