country,hazard,rp,fa
Argentina,earthquake,50.0,0.014950889003547385
Argentina,earthquake,100.0,0.022673829228982305
Argentina,earthquake,250.0,0.03640346578669048
Argentina,earthquake,500.0,0.04407294391155049
Argentina,earthquake,1000.0,0.054240813846996666
Argentina,earthquake,1500.0,0.0615029158699622
Argentina,earthquake,2000.0,0.06433409390408099
Argentina,earthquake,4000.0,0.07676281108457826
Argentina,earthquake,5000.0,0.0817025479850606
Argentina,earthquake,30000.0,0.10496630958383217
Argentina,flood,1.5,3.074117892123497e-05
Argentina,flood,2.0,0.00018417397241764368
Argentina,flood,3.0,0.0006445476072252715
Argentina,flood,5.0,0.001917611949273646
Argentina,flood,10.0,0.004027294042707944
Argentina,flood,20.0,0.00747731301069339
Argentina,flood,50.0,0.013179501422481447
Argentina,flood,100.0,0.01930432478118266
Argentina,flood,250.0,0.029187073327817437
Argentina,flood,500.0,0.037945610861641214
Argentina,flood,1000.0,0.04973549930767516
Argentina,flood,1500.0,0.05718631633688389
Argentina,flood,2000.0,0.06108678256016714
Argentina,flood,4000.0,0.06752288190764391
Argentina,flood,5000.0,0.06885012012311452
Argentina,flood,30000.0,0.0801941409995269
Argentina,tsunami,20.0,0.0
Argentina,tsunami,50.0,0.0
Argentina,tsunami,100.0,0.0
Argentina,tsunami,250.0,0.0
Argentina,tsunami,500.0,8.942301469312159e-08
Argentina,tsunami,1000.0,1.11439294833922e-05
Argentina,tsunami,1500.0,1.537936374729955e-05
Argentina,tsunami,2000.0,1.9552968533765503e-05
Argentina,tsunami,4000.0,3.2167294785488505e-05
Argentina,tsunami,5000.0,3.8677973829158984e-05
Argentina,tsunami,30000.0,0.0012418374485255535
Armenia,earthquake,0.5,0.0007129215003127325
Armenia,earthquake,1.0,0.0016007950609522753
Armenia,earthquake,1.5,0.0023867570852625472
Armenia,earthquake,2.0,0.003082906516020587
Armenia,earthquake,3.0,0.004553314262527419
Armenia,earthquake,5.0,0.007247000490232508
Armenia,earthquake,10.0,0.01499041725917418
Armenia,earthquake,20.0,0.030127065323000177
Armenia,earthquake,50.0,0.06854552620103645
Armenia,earthquake,100.0,0.13926609827963643
Armenia,earthquake,250.0,0.22968396567634106
Armenia,earthquake,500.0,0.3505349637315565
Armenia,earthquake,1000.0,0.4780351646784926
Armenia,earthquake,1500.0,0.5970828209374198
Armenia,earthquake,2000.0,0.6810434511737372
Armenia,earthquake,4000.0,0.7950269165152277
Armenia,earthquake,5000.0,0.8388084622370854
Armenia,earthquake,30000.0,1.0
Armenia,flood,3.0,6.35788049318198e-06
Armenia,flood,5.0,0.0009468639603659296
Armenia,flood,10.0,0.007838899775858651
Armenia,flood,20.0,0.02776178806903488
Armenia,flood,50.0,0.07586541434163924
Armenia,flood,100.0,0.09610955753303131
Armenia,flood,250.0,0.12186839749556201
Armenia,flood,500.0,0.13352910495637377
Armenia,flood,1000.0,0.13941101534506745
Armenia,flood,1500.0,0.1433302891545535
Armenia,flood,2000.0,0.14491404860694318
Armenia,flood,4000.0,0.15006784511157667
Armenia,flood,5000.0,0.15026876068320624
Armenia,flood,30000.0,0.16820476268856335
Australia,flood,1.5,1.0195970950126235e-05
Australia,flood,2.0,5.076172390139737e-05
Australia,flood,3.0,0.0003388595693311624
Australia,flood,5.0,0.0012541165704373905
Australia,flood,10.0,0.0031234908027673713
Australia,flood,20.0,0.006457442844372126
Australia,flood,50.0,0.01224813880676899
Australia,flood,100.0,0.019265597390599
Australia,flood,250.0,0.03170648655171845
Australia,flood,500.0,0.03943288836942409
Australia,flood,1000.0,0.04279985583200244
Australia,flood,1500.0,0.0480864762866081
Australia,flood,2000.0,0.06276867080069783
Australia,flood,4000.0,0.07093964586342862
Australia,flood,5000.0,0.07290742396349624
Australia,flood,30000.0,0.08149491044275313
Australia,surge,0.5,1.4419041279288507e-05
Australia,surge,1.0,4.9420068233901586e-05
Australia,surge,1.5,0.00010990436148345795
Australia,surge,2.0,0.00018490632477554406
Australia,surge,3.0,0.00037131011523790924
Australia,surge,5.0,0.0005482203303181464
Australia,surge,10.0,0.0010087436990563517
Australia,surge,20.0,0.0012194969354096632
Australia,tsunami,3.0,0.0
Australia,tsunami,5.0,0.0
Australia,tsunami,10.0,0.0
Australia,tsunami,20.0,3.0300389665126628e-06
Australia,tsunami,50.0,0.00010066304412650195
Australia,tsunami,100.0,0.00037378778813403134
Australia,tsunami,250.0,0.0011361453181748936
Australia,tsunami,500.0,0.002274193292370806
Australia,tsunami,1000.0,0.0032093165137098167
Australia,tsunami,1500.0,0.004497720240185242
Australia,tsunami,2000.0,0.0050161648834041485
Australia,tsunami,4000.0,0.008306094711804986
Australia,tsunami,5000.0,0.008593736791819111
Australia,tsunami,30000.0,0.03731462049459411
Australia,wind,0.1,0.0
Australia,wind,0.5,3.303046114994278e-08
Australia,wind,1.0,2.593831136593387e-06
Australia,wind,1.5,6.000976585184548e-06
Australia,wind,2.0,1.7764832116396138e-05
