country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Czech Republic,31071.748371599995,10561633.0,0.7298,18266.549688599996,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.23979983157078164,1.0,0.4458184717539999
Denmark,45686.4845315,5731118.0,0.8784700000000001,53417.6642756,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.23010606402758518,1.0,0.38293142236699995
Djibouti,3139.27353523,942333.0,0.7743,1862.16727373,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.2605986206727131,1.0,0.09546250183380571
Dominica,10174.0385414,73543.0,0.6982,7144.45467278,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,1.4717082620307553,1.0,0.10197510028202222
Dominican Republic,14098.875869799998,10648791.0,0.7984100000000001,6722.22353581,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.3771503990888722,1.0,0.123301880294415
Ecuador,10462.4413269,16385068.0,0.63976,5968.98413849,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.25747347179967145,1.0,0.18763142558381996
"Egypt, Arab Rep.",10319.2569275,95688681.0,0.43222,3514.49009689,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.4927783418827425,1.0,0.117536831503167
El Salvador,7989.99725603,6344722.0,0.67189,4223.58457943,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.13424357530792413,1.0,0.196328883750509
Estonia,27735.138514200004,1316481.0,0.6746800000000001,17574.6873553,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.2800603915970392,1.0,0.3608352201
Ethiopia,1608.29347612,102403196.0,0.19922,706.7577540780001,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.3781161653838428,1.0,0.09902624303082033
Fiji,8862.74044257,898760.0,0.54099,5153.35154432,3.0,0.2,1.5,0.06,0.8,0.05,1.0,2,0.33613901941237423,1.0,0.13143490824753604
Finland,39422.6469805,5495096.0,0.8435799999999999,43090.2475063,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.21799096857432496,1.0,0.357808437848
France,38058.8730456,66896109.0,0.7975,36854.9682805,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.2234491797478895,1.0,0.38567809559999994
Gabon,16785.9980144,1979786.0,0.87366,7179.34066115,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.3299123735952057,1.0,0.126240219676298
Georgia,9267.29900374,3719300.0,0.5382600000000001,3853.64990353,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.3632651483124993,1.0,0.5696747001640049
