country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Albania,nonpoor,0.8,11846.409320548315,0.09645449,1.0955818030404623,64458.16635605338,0.02203172298367265,0.35149999999999987,0.0
Albania,poor,0.2,4600.799670295232,0.04461803,0.6176727878381505,22750.4567251427,0.02115242925244807,0.6999999999999998,0.0
Angola,nonpoor,0.8,8200.408532333118,0.2220807,1.1599876990237534,19007.154917817785,0.0028026684524717835,0.6,0.0
Angola,poor,0.2,1883.3972012506645,0.040258800000000004,0.3600492039049865,4187.0155074258,0.012392222130892661,0.6999999999999997,0.0
Argentina,nonpoor,0.8,21535.06804906542,0.06069045,1.169831917355596,80135.63792991228,0.008505279767317438,0.3972539125,0.8000000000000004
Argentina,poor,0.2,4295.709112149532,0.01099222,0.3206723305776162,14965.309783776736,0.008924634847277412,0.6999999999999998,0.8000000000000004
Armenia,nonpoor,0.8,9036.781365383566,0.02506004,1.029386623944267,25987.899238097194,0.05294395991965164,0.2375,0.4000000000000002
Armenia,poor,0.2,3349.2965899673354,0.0044171390000000005,0.8824535042229322,3757.382906739202,0.052778042589500584,0.2999999999999999,0.4000000000000002
Australia,nonpoor,0.8,50699.33845647778,0.702807,0.9258855604795541,192356.06542429831,0.005447117855877685,0.5385999999999999,1.0
Australia,poor,0.2,15475.54879588537,0.4856016,1.296457758081783,28349.843768898772,0.005865486054315631,0.6999999999999998,1.0
Austria,nonpoor,0.8,50597.34397342101,0.6850328,1.1292870052174837,220997.13974946376,0.02389228714140234,0.2394999999999999,1.0
Austria,poor,0.2,17074.271789772956,0.48613950000000006,0.4828519791300656,60841.16256771449,0.025709568025332096,0.5700000000000001,1.0
Azerbaijan,nonpoor,0.8,18079.0198208403,0.06077156,0.9309885131276122,33676.00449293691,0.025230222610601465,0.2375,0.0
Azerbaijan,poor,0.2,11160.867828910765,0.04266026,1.276045947489551,4837.903151149598,0.02559807632353588,0.2999999999999999,0.0
Bangladesh,nonpoor,0.8,3572.1509871143226,0.09956344,1.1992378377990778,12225.091004685682,0.06404945642789082,0.41553519761222835,0.8000000000000004
Bangladesh,poor,0.2,1394.2013950366077,0.03864263,0.20304864880368934,5232.611981471309,0.0639165757499715,0.6999999999999998,0.8000000000000004
Belarus,nonpoor,0.8,18771.37963656125,0.1958292,1.0438873482993427,51208.128722381385,0.01601289261495226,0.29499999999999993,0.8000000000000004
Belarus,poor,0.2,8019.648632775478,0.07855246,0.8244506068026293,10218.182623532703,0.016842235107340266,0.6999999999999998,0.8000000000000004
Belgium,nonpoor,0.8,46990.318390474225,0.6023575,1.0845020116713397,224922.2984430591,0.007002980548414408,0.26999999999999996,0.0
