country,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood
Benin,1733.30939936435,10323474.0,0.4395,0.6666666666666667,0.25,0.3302533219458435,3,0.2,1.5,0.06,0.8,0.05,0.043864808492979766,1.0,0.07285542246609816,0.8,0.2,2033.6052528042237,532.1259856048554,0.1062553,0.01619615,1.2002149258161103,0.19914029673555825,6146.592272275322,1655.7499780399382,0.008233160180715892,0.01891039877785149,0.6734349004145419,0.6999999999999997,0.3200000000000002,0.3200000000000002,0.4000000000000001,1.5506507328575075e-05,0.001272416797664914,0.0,0.0,0.0,0.0029636036806372688,0.0
Bolivia,5934.38797771874,10671200.0,0.68512,0.5333333333333333,0.45,0.4218342004210295,3,0.2,1.5,0.06,0.8,0.05,0.04648689477305887,1.0,0.2308646060415801,0.8,0.2,7171.707871073098,985.1084043013108,0.22580279999999997,0.08907469000000001,1.1875860553422155,0.2496557786311359,17089.561040071298,1982.0456004273417,0.020377237493580468,0.02103256357272152,0.3888542116786029,0.6999999999999998,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.0030802213060657185,0.0024947326536248573,0.0,0.0,0.0,0.0027760797602827737,0.0
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.39766999999999997,0.0,0.125,0.32393223235700314,3,0.2,1.5,0.06,0.8,0.05,0.13678412833995238,1.0,0.13248633786603434,0.8,0.2,10857.643730045069,3506.1752367204863,0.07855196,0.03455922,1.0952833681147622,0.6188665275409517,33789.737429667985,9737.869641903924,0.017789929306783882,0.01805562286441113,0.4420310714249999,0.6999999999999998,0.0,0.0,0.0,0.0010543252238667735,0.0032990578422538203,0.0,0.0,0.0,0.003371736434605446,0.0
Botswana,15246.6087973119,2021144.0,0.57444,0.6,0.7083333333333333,0.2811780767140953,3,0.2,1.5,0.06,0.8,0.05,0.034952582599130165,1.0,0.049144487527118315,0.8,0.2,18517.006384335305,2165.0184492182893,0.2164499,0.08854125,1.0818427250250475,0.6726290998998098,66226.86340618136,6212.70224743394,0.005324049326518646,0.005606682816226403,0.6416008539893611,0.6999999999999997,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0005405016170376669,0.0008568521145437181,0.0,0.0,0.0,0.0009475498860160806,0.0
Brazil,14555.0821953115,200361925.0,0.8568700000000001,0.8666666666666666,0.5583333333333333,0.26557501018758395,3,0.2,1.5,0.06,0.8,0.05,0.04966197906263582,1.0,0.2062913808801068,0.8,0.2,17577.081136113047,2467.086432105299,0.1296786,0.0636212,1.2036438994803549,0.18542440207858096,66241.70537830978,9062.767811275742,0.002488573593661752,0.002751989036372401,0.6506628849962744,0.6999999999999997,0.1600000000000001,0.1600000000000001,0.20000000000000004,0.0,0.000795955248652955,0.0,0.0,0.0,0.0008802070886370297,0.0
Bulgaria,15695.0177942759,7265115.0,0.73948,0.6666666666666667,0.7166666666666667,0.3230784715072762,3,0.2,1.5,0.06,0.8,0.05,0.0406646206660324,1.0,0.42104100267449995,0.8,0.2,18361.20894207852,5030.253203065426,0.07025403,0.01463466,1.1238116770278679,0.5047532918885271,58459.408519365745,9060.286682361246,0.008925179981729653,0.0084756226455612,0.3857760364,0.6999999999999998,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0012535665480080365,0.000752434973003591,0.0,0.0,0.0,0.000610655338707023,0.0
Burkina Faso,1630.4444967271695,16934839.0,0.29859,0.8,0.4166666666666667,0.40566509188102295,3,0.2,1.5,0.06,0.8,0.05,0.011201136451543192,1.0,0.3350184754352661,0.8,0.2,1901.09828318388,547.8293509003289,0.1070983,0.0373907,1.125968832109557,0.4961246715617732,4767.431849918557,1026.2154033777122,0.0035945540023861345,0.0023406398155072497,0.6734349004145419,0.6999999999999997,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.0,0.0016146816397284423,0.0,0.0,0.0,0.0010514206026138691,0.0
Burundi,746.960151427392,10162532.0,0.12057000000000001,0.6666666666666667,0.25,0.4629793127178333,3,0.2,1.5,0.06,0.8,0.05,0.013002055002250844,1.0,0.09738497966160996,0.8,0.2,850.040652324372,334.6381478394717,0.05161891,0.005427960000000001,1.1264657438664585,0.4941370245341676,1838.0307431667084,714.7617769184372,0.02669435017664736,0.02724760020669329,0.4424472127146907,0.6999999999999998,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.002298900125109747,0.0016288051173384069,0.0,0.0,0.0,0.001801214091766906,0.0
Cambodia,2943.52466835185,15135169.0,0.20723000000000005,0.0,0.15,0.4592944496539701,3,0.2,1.5,0.06,0.8,0.05,0.1597953949501889,1.0,0.02793256760472871,0.8,0.2,3348.6272508337734,1323.1143384241566,0.0120755,0.0021845939999999998,1.150272473187989,0.39891010724804415,7288.478000213143,2890.070574698747,0.09086074407326697,0.06413905520651206,0.20385327749999996,0.6999999999999998,0.0,0.0,0.0,0.0,0.03784986492949056,0.0,0.0,1.469430445348321e-06,0.026717551714934513,0.0
Cameroon,2739.34394480018,22253959.0,0.54381,0.6666666666666667,0.5666666666666667,0.4197375746029477,3,0.2,1.5,0.06,0.8,0.05,0.03702171514027235,1.0,0.037486078723654566,0.8,0.2,3206.744505381711,869.7417024740573,0.1015309,0.09631175,0.9325424085894692,1.2698303656421237,7700.394019042173,1830.0503322065085,0.01951707055423152,0.027547177013429243,0.3,0.6343680960785822,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0003765322986224703,0.0035264240438046233,0.0,0.0,0.0,0.0054907519980278855,0.0
Canada,41898.8823594636,35154279.0,0.81828,0.8666666666666666,0.8333333333333333,0.3354838938558465,3,0.2,1.5,0.06,0.8,0.05,0.03686313445856925,1.0,0.17486100000000004,0.8,0.2,48655.077139927096,14874.103237609575,0.6416324999999999,0.3688955,0.92973847799109,1.2810460880356394,151156.8479853652,19827.06215920386,0.010448290060241209,0.011365502086493838,0.27848915166168753,0.3927198494711082,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0001630989343301289,0.0011311930468506806,0.0,0.0,5.405206599285188e-05,0.0012509297980507661,0.0
Central African Republic,584.375944042188,4616417.0,0.40037,0.0,0.0,0.3147438330510679,3,0.2,1.5,0.06,0.8,0.05,0.04463248461537338,1.0,0.06507412020696025,0.8,0.2,705.8530934099579,98.46734657110868,0.03726327,0.006212666,1.25,0.0,2237.1833894809565,334.62456822843006,0.0099494215203884,0.011815644944421043,0.6348205552960912,0.7000000000000002,0.0,0.0,0.0,0.0001733606052458107,0.002529593287265238,0.0,0.0,0.0,0.0031255707633224927,0.0
Chad,2021.59347086517,12825314.0,0.22471,0.0,0.0,0.7532009944644721,3,0.2,1.5,0.06,0.8,0.05,0.0781597334231037,1.0,0.06392829943634394,0.8,0.2,2403.6746368586873,493.2688068911015,0.08138166,0.0492537,1.25,0.0,3180.09774372849,699.6223131893588,0.008088629368311683,0.00894481055234533,0.6734349004145419,0.6999999999999997,0.0,0.0,0.0,0.0,0.0027040690263410603,0.0,0.0,0.0,0.0029902946543505955,0.0
Chile,21714.0315564501,17619708.0,0.8953,0.8,0.925,0.3473941118185529,3,0.2,1.5,0.06,0.8,0.05,0.08372318136236923,1.0,0.1706202905879488,0.8,0.2,25915.6966626232,4907.371131757722,0.16054310000000002,0.07033718,1.101807265358866,0.5927709385645358,75779.32064604423,9410.057657437968,0.09086606203427458,0.09232902958763296,0.11529375,0.313141,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.024600980864344778,0.0035221602241720766,0.0,0.0001212270445323085,0.0,0.0037705355156348896,0.0
China,11524.567506563,1357380000.0,0.55614,0.8,0.8416666666666667,0.2292163791392399,3,0.2,1.5,0.06,0.8,0.05,0.09268535857950012,1.0,0.1473363666102666,0.8,0.2,13732.962755008137,2690.9865127824605,0.4205325999999999,0.17047620000000002,1.1166298251390272,0.5334806994438908,60564.20413975129,9133.759233187242,0.00346259538414658,0.0037931122007510572,0.5370080662500001,0.6999999999999997,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.000402505705480107,0.0007783019114332922,0.00027396715141210547,0.0,7.356183059523117e-05,0.0008606851461846821,0.3520062682456703
