country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Tunisia,10752.01683,10752.01683,11403248,0.067,0.67047,3688.646375,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.49583333333333335,0.24926564326912068,1.0,0.14438034176467424
Turkey,23756.48429,23679.39639,79512426,0.057,0.73887,10787.60934,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6541666666666667,0.4121669094199699,1.0,0.208941159724
Uganda,1687.0827359999998,1713.851192,41487965,0.064,0.16444,615.3088032,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5791666666666667,0.5735745521051661,1.0,0.103315231304
Ukraine,7668.055776,7668.055776,45004645,0.10099999999999999,0.69915,2185.7280309999996,1,0.2,1.5,0.06,0.8,0.05,0.0,0.1,0.2458541924399426,1.0,0.40515600478
United Kingdom,39254.77217,38901.046760000005,65637239,0.075,0.82835,39899.38839,1,0.2,1.5,0.06,0.8,0.05,0.8,0.8666666666666667,0.30312817474804055,1.0,0.43447988940000004
United States,53445.37059,53272.51571,323127513,0.05,0.81788,57466.787110000005,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.3187368533465751,1.0,0.11699999999999999
Uruguay,20046.92683,20046.92683,3444006,0.057999999999999996,0.9546,15220.566030000002,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6208333333333333,0.29188665397068997,1.0,0.3924998330040001
Vanuatu,2856.4753100000003,2856.4753100000003,270402,0.067,0.26441,2860.566475,1,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.25,0.29706761565836304,1.0,0.09924405360243671
Vietnam,5837.628704,5955.261888,92701100,0.071,0.34236,2185.690282,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.6041666666666667,0.2697045509948559,1.0,0.15057482092699997
"Yemen, Rep.",2325.0699600000003,2325.0699600000003,27584213,0.073,0.35186999999999996,990.334774,1,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.16666666666666666,0.2191314756601725,1.0,0.08061792103300001
Zambia,3646.962322,3636.059711,16591390,0.028999999999999998,0.41379,1178.387905,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5541666666666667,0.425750249346411,1.0,0.088705264054
Zimbabwe,1879.6281199999999,1859.937441,16150362,0.057999999999999996,0.32277,1008.597331,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4166666666666667,19.14376169472781,1.0,0.108605563344
