country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Costa Rica,15401.4925,15401.4925,4857274,0.042,0.77675,11824.6381,1,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,0.725,0.48189675491736383,1.0,0.167051765082
Cote d'Ivoire,3424.7642100000003,3448.144013,23695919,0.057,0.54869,1526.197175,1,0.2,1.5,0.06,0.8,0.05,0.0,0.1875,0.5759764393620561,1.0,0.09717874193483547
Croatia,21527.967669999998,21408.55151,4170600,0.073,0.5928399999999999,12090.66656,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5708333333333333,0.23052247153165525,1.0,0.29085496299999997
Cyprus,31331.392999999996,31195.50622,1170125,0.079,0.6684,23324.20174,1,0.2,1.5,0.06,0.8,0.05,0.0,0.2125,0.20174778291418224,1.0,0.3450950483
Czech Republic,31338.875210000002,31071.748369999998,10561633,0.09699999999999999,0.7298,18266.54969,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.9,0.23979983157078164,1.0,0.44581847175399997
Denmark,45991.224780000004,45686.48453,5731118,0.094,0.8784700000000001,53417.664280000005,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.23010606402758518,1.0,0.3839013104779999
Dominica,10151.34252,10174.038540000001,73543,0.038,0.6982,7144.454673,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,1.4717082620307553,1.0,0.10197510012200002
Dominican Republic,14098.875869999998,14098.875869999998,10648791,0.049,0.7984100000000001,6722.2235359999995,1,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.3771503990888722,1.0,0.123105029673
Ecuador,10424.26415,10462.44133,16385068,0.047,0.63976,5968.984138000001,1,0.2,1.5,0.06,0.8,0.05,0.8,0.4708333333333333,0.25747347179967145,1.0,0.18781857820700001
"Egypt, Arab Rep.",10319.25693,10319.25693,95688681,0.091,0.43222,3514.490097,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4708333333333333,0.4927783418827425,1.0,0.11753683112499998
El Salvador,7989.997256000001,7989.997256000001,6344722,0.059000000000000004,0.67189,4223.584579,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4583333333333333,0.13424357530792413,1.0,0.196386324878
Estonia,28109.817039999998,27735.13851,1316481,0.075,0.6746800000000001,17574.68736,1,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.2800603915970392,1.0,0.3616829822499999
Ethiopia,1608.293476,1608.293476,102403196,0.066,0.19922,706.7577541,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5791666666666667,0.3781161653838428,1.0,0.09860583592755474
Fiji,8447.264216,8862.740443,898760,0.076,0.54099,5153.351544,1,0.2,1.5,0.06,0.8,0.05,1.0,0.7,0.33613901941237423,1.0,0.131434908688
Finland,39521.5602,39422.64698,5495096,0.094,0.8435799999999999,43090.24751,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8916666666666666,0.21799096857432496,1.0,0.357808437848
France,38061.094260000005,38058.87305,66896109,0.079,0.7975,36854.96828,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.95,0.2234491797478895,1.0,0.38555775503000006
Gabon,16786.00072,16785.99801,1979786,0.057999999999999996,0.87366,7179.340661,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5541666666666667,0.3299123735952057,1.0,0.12624021959800003
Georgia,9276.766243,9267.299004,3719300,0.067,0.5382600000000001,3853.649904,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6291666666666667,0.3632651483124993,1.0,0.5723170420949999
Germany,44356.85773,44072.39216,82667685,0.078,0.7551,41936.058580000004,1,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27301744639675013,1.0,0.40363694748599993
Ghana,3980.202106,3980.202106,28206728,0.054000000000000006,0.54682,1513.461034,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5541666666666667,0.40793501657637044,1.0,0.173211340542
Greece,24223.992290000002,24263.87813,10746740,0.059000000000000004,0.7832899999999999,18103.96932,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5541666666666667,0.23679175031633581,1.0,0.489918763898
Guatemala,7366.76848,7366.76848,16582469,0.045,0.5203,4146.744129,1,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5708333333333333,0.6475627728005022,1.0,0.039727924915000004
Guinea,1823.3387879999998,1215.025377,12395924,0.076,0.37651,508.1450784,1,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3510694892836516,1.0,0.0731361673504809
Guinea-Bissau,1491.681953,1466.267695,1815698,0.045,0.5009399999999999,620.2147647,1,0.2,1.5,0.06,0.8,0.05,0.2,0.16666666666666666,0.4231887629374076,1.0,0.09025000656517371
Guyana,7266.335284999999,7248.230183,773303,0.045,0.28661,4456.553697,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3808481921743437,1.0,0.12710520740181663
Haiti,1653.9618480000001,1653.9618480000001,10847334,0.055,0.5979399999999999,739.5954363,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.25,0.1333669537730951,1.0,0.014115977509999999
Honduras,4392.265947,4392.265947,9112867,0.032,0.55315,2361.15762,1,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.5916666666666667,0.3635926941047578,1.0,0.13891499604799998
Hungary,25664.136000000002,25381.28792,9817958,0.078,0.71672,12664.847440000001,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.22126941170098394,1.0,0.5558629059999999
